Cervus 3.0.7 - (c) Copyright Tristan Marshall 1998-2014
Distributed by Field Genetics Ltd - www.fieldgenetics.com
Licensed for non-commercial use only

Allele frequency analysis completed 2/8/2016 3:20:10 PM


**** Summary statistics ****


Locus       k    N        HObs   HExp   PIC    NE-1P  NE-2P  NE-PP  NE-I   NE-SI  HW   F(Null)
dDocent_Contig_1_45    2      868  0.300  0.280  0.241  0.961  0.880  0.802  0.558  0.750   NS  -0.0340
dDocent_Contig_1_148    2      868  0.286  0.283  0.243  0.960  0.879  0.800  0.554  0.747   NS  -0.0050
dDocent_Contig_21_37    2      857  0.309  0.306  0.259  0.953  0.870  0.790  0.529  0.729   NS  -0.0054
dDocent_Contig_21_78    2      857  0.177  0.173  0.158  0.985  0.921  0.860  0.699  0.838   NS  -0.0123
dDocent_Contig_21_144    2      857  0.527  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0270
dDocent_Contig_85_57    2      848  0.248  0.241  0.212  0.971  0.894  0.821  0.605  0.781   NS  -0.0130
dDocent_Contig_85_65    2      848  0.250  0.241  0.212  0.971  0.894  0.821  0.605  0.781   NS  -0.0178
dDocent_Contig_85_172    2      848  0.528  0.497  0.373  0.877  0.813  0.720  0.377  0.596   NS  -0.0307
dDocent_Contig_107_30    2      850  0.495  0.487  0.368  0.882  0.816  0.723  0.382  0.602   NS  -0.0092
dDocent_Contig_107_48    2      850  0.420  0.421  0.332  0.912  0.834  0.745  0.424  0.646   NS   0.0006
dDocent_Contig_107_80    2      850  0.102  0.108  0.102  0.994  0.949  0.906  0.802  0.897   ND   0.0250
dDocent_Contig_276_132    2      869  0.180  0.186  0.168  0.983  0.916  0.853  0.680  0.827   NS   0.0169
dDocent_Contig_276_157    2      869  0.415  0.420  0.332  0.912  0.834  0.745  0.425  0.646   NS   0.0053
dDocent_Contig_389_155    2      870  0.152  0.154  0.142  0.988  0.929  0.873  0.728  0.855   NS   0.0066
dDocent_Contig_398_12    2      870  0.490  0.492  0.371  0.879  0.815  0.721  0.379  0.599   NS   0.0021
dDocent_Contig_398_14    2      870  0.472  0.473  0.361  0.888  0.819  0.727  0.390  0.611   NS   0.0004
dDocent_Contig_435_196    2      877  0.306  0.278  0.239  0.961  0.880  0.803  0.560  0.751   NS  -0.0481
dDocent_Contig_435_199    2      877  0.655  0.459  0.353  0.895  0.823  0.732  0.398  0.620  ***  -0.1762
dDocent_Contig_435_200    3      877  0.771  0.547  0.460  0.850  0.736  0.602  0.292  0.550  ***  -0.1826
dDocent_Contig_486_21    2      873  0.128  0.120  0.113  0.993  0.944  0.897  0.781  0.885   ND  -0.0243
dDocent_Contig_537_31    2      875  0.144  0.140  0.130  0.990  0.935  0.883  0.750  0.868   ND  -0.0160
dDocent_Contig_601_37    2      851  0.115  0.123  0.115  0.992  0.942  0.895  0.777  0.883   ND   0.0327
dDocent_Contig_601_60    2      851  0.102  0.099  0.094  0.995  0.953  0.912  0.817  0.905   ND  -0.0155
dDocent_Contig_601_118    2      851  0.174  0.180  0.164  0.984  0.918  0.856  0.689  0.832   NS   0.0167
dDocent_Contig_601_182    2      850  0.532  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0311
dDocent_Contig_631_33    2      851  0.392  0.344  0.285  0.941  0.858  0.773  0.489  0.700   NS  -0.0655
dDocent_Contig_631_197    2      849  0.207  0.203  0.182  0.980  0.909  0.843  0.657  0.813   NS  -0.0120
dDocent_Contig_832_9    2      872  0.296  0.282  0.242  0.960  0.879  0.801  0.555  0.748   NS  -0.0243
dDocent_Contig_832_20    2      872  0.096  0.094  0.089  0.996  0.955  0.917  0.826  0.910   ND  -0.0135
dDocent_Contig_832_109    2      872  0.130  0.129  0.121  0.992  0.940  0.890  0.767  0.877   ND  -0.0018
dDocent_Contig_832_177    2      872  0.136  0.137  0.128  0.991  0.936  0.885  0.754  0.870   ND   0.0019
dDocent_Contig_848_63    2      870  0.149  0.146  0.135  0.989  0.932  0.878  0.740  0.862   NS  -0.0115
dDocent_Contig_848_64    2      870  0.344  0.326  0.273  0.947  0.864  0.781  0.507  0.714   NS  -0.0262
dDocent_Contig_889_111    2      857  0.337  0.334  0.278  0.944  0.861  0.778  0.499  0.708   NS  -0.0050
dDocent_Contig_969_24    2      869  0.501  0.493  0.371  0.879  0.814  0.721  0.379  0.598   NS  -0.0078
dDocent_Contig_969_96    2      869  0.452  0.411  0.326  0.916  0.837  0.748  0.432  0.653   NS  -0.0486
dDocent_Contig_969_110    2      869  0.442  0.428  0.336  0.909  0.832  0.742  0.419  0.641   NS  -0.0166
dDocent_Contig_969_115    2      869  0.334  0.329  0.275  0.946  0.863  0.780  0.505  0.712   NS  -0.0079
dDocent_Contig_969_147    2      869  0.409  0.392  0.315  0.923  0.842  0.755  0.447  0.666   NS  -0.0207
dDocent_Contig_969_163    2      869  0.203  0.213  0.190  0.977  0.905  0.837  0.643  0.804   NS   0.0239
dDocent_Contig_1044_12    2      859  0.453  0.426  0.335  0.910  0.833  0.743  0.421  0.643   NS  -0.0314
dDocent_Contig_1044_45    2      859  0.142  0.140  0.130  0.990  0.935  0.883  0.750  0.867   ND  -0.0076
dDocent_Contig_1044_129    2      859  0.208  0.201  0.181  0.980  0.910  0.843  0.658  0.814   NS  -0.0174
dDocent_Contig_1044_163    2      859  0.304  0.303  0.257  0.954  0.872  0.791  0.532  0.732   NS  -0.0024
dDocent_Contig_1117_16    2      847  0.159  0.159  0.146  0.987  0.927  0.870  0.721  0.851   NS  -0.0028
dDocent_Contig_1117_169    2      847  0.109  0.113  0.107  0.994  0.947  0.902  0.793  0.892   ND   0.0205
dDocent_Contig_1119_41    2      854  0.157  0.162  0.149  0.987  0.925  0.868  0.715  0.848   NS   0.0164
dDocent_Contig_1119_93    2      854  0.181  0.178  0.162  0.984  0.919  0.857  0.691  0.834   NS  -0.0089
dDocent_Contig_1262_100    2      859  0.184  0.191  0.173  0.982  0.914  0.849  0.672  0.822   NS   0.0195
dDocent_Contig_1269_45    2      868  0.242  0.429  0.337  0.908  0.832  0.742  0.418  0.640  ***   0.2784
dDocent_Contig_1330_80    2      868  0.266  0.256  0.223  0.967  0.889  0.814  0.587  0.769   NS  -0.0204
dDocent_Contig_1330_85    2      868  0.270  0.256  0.223  0.967  0.888  0.813  0.586  0.768   NS  -0.0253
dDocent_Contig_1330_91    2      868  0.177  0.179  0.163  0.984  0.919  0.857  0.691  0.833   NS   0.0031
dDocent_Contig_1330_95    2      868  0.196  0.200  0.180  0.980  0.910  0.844  0.660  0.815   NS   0.0113
dDocent_Contig_1330_121    2      868  0.182  0.199  0.179  0.980  0.911  0.845  0.662  0.816   NS   0.0434
dDocent_Contig_1330_123    2      868  0.203  0.193  0.174  0.981  0.913  0.848  0.670  0.821   NS  -0.0243
dDocent_Contig_1330_143    2      868  0.384  0.369  0.301  0.932  0.850  0.764  0.467  0.682   NS  -0.0200
dDocent_Contig_1330_176    2      868  0.505  0.490  0.370  0.880  0.815  0.722  0.380  0.600   NS  -0.0146
dDocent_Contig_1370_131    2      871  0.375  0.382  0.309  0.927  0.846  0.759  0.455  0.673   NS   0.0080
dDocent_Contig_1370_139    2      871  0.195  0.193  0.174  0.981  0.913  0.848  0.671  0.821   NS  -0.0068
dDocent_Contig_1370_200    2      871  0.380  0.364  0.298  0.934  0.851  0.765  0.471  0.686   NS  -0.0213
dDocent_Contig_1370_204    2      871  0.496  0.450  0.348  0.899  0.826  0.735  0.404  0.626   NS  -0.0492
dDocent_Contig_1372_182    2      857  0.128  0.128  0.120  0.992  0.940  0.891  0.768  0.878   ND  -0.0006
dDocent_Contig_1544_113    2      868  0.236  0.219  0.195  0.976  0.903  0.833  0.634  0.799   NS  -0.0383
dDocent_Contig_1544_122    2      868  0.121  0.122  0.114  0.993  0.943  0.895  0.779  0.884   ND   0.0031
dDocent_Contig_1544_146    2      868  0.120  0.121  0.113  0.993  0.943  0.896  0.780  0.885   ND   0.0037
dDocent_Contig_1544_148    2      868  0.120  0.121  0.113  0.993  0.943  0.896  0.780  0.885   ND   0.0037
dDocent_Contig_1544_161    2      868  0.116  0.120  0.113  0.993  0.944  0.897  0.782  0.886   ND   0.0142
dDocent_Contig_1670_166    2      878  0.170  0.155  0.143  0.988  0.928  0.872  0.726  0.854   NS  -0.0367
