Cervus 3.0.7 - (c) Copyright Tristan Marshall 1998-2014
Distributed by Field Genetics Ltd - www.fieldgenetics.com
Licensed for non-commercial use only

Allele frequency analysis completed 10/28/2014 11:53:57 AM


**** Summary statistics ****


Locus       k    N        HObs   HExp   PIC    NE-1P  NE-2P  NE-PP  NE-I   NE-SI  HW   F(Null)
30892_35      2       94  0.011  0.011  0.011  1.000  0.995  0.990  0.979  0.989   ND  -0.0003
30892_94      2       94  0.011  0.011  0.011  1.000  0.995  0.990  0.979  0.989   ND  -0.0003
30892_97      2       94  0.011  0.011  0.011  1.000  0.995  0.990  0.979  0.989   ND  -0.0003
30892_173     2       94  0.032  0.032  0.031  1.000  0.985  0.970  0.939  0.969   ND  -0.0022
30973_67      2       96  0.010  0.010  0.010  1.000  0.995  0.990  0.979  0.990   ND  -0.0003
30973_70      2       95  0.021  0.021  0.021  1.000  0.990  0.980  0.959  0.979   ND  -0.0010
30973_77      2       92  0.022  0.043  0.042  0.999  0.979  0.960  0.918  0.958   ND   0.2491
30973_84      2       90  0.056  0.354  0.290  0.938  0.855  0.770  0.482  0.695   ND   0.7252
30973_88      2       94  0.021  0.298  0.252  0.956  0.874  0.794  0.539  0.737   ND   0.8548
30973_94      2       96  0.000  0.021  0.020  1.000  0.990  0.980  0.959  0.980   ND   0.3493
30973_96      2       91  0.055  0.351  0.288  0.939  0.856  0.771  0.485  0.697   ND   0.7258
30973_117     2       96  0.010  0.010  0.010  1.000  0.995  0.990  0.979  0.990   ND  -0.0003
30973_143     2       95  0.021  0.309  0.260  0.953  0.870  0.789  0.527  0.728   ND   0.8621
30973_144     2       96  0.010  0.031  0.030  1.000  0.985  0.970  0.940  0.970   ND   0.2936
30973_152     2       94  0.011  0.032  0.031  1.000  0.985  0.970  0.939  0.969   ND   0.2961
30973_156     2       94  0.032  0.305  0.257  0.954  0.871  0.791  0.532  0.731   ND   0.8016
30973_158     2       94  0.011  0.011  0.011  1.000  0.995  0.990  0.979  0.989   ND  -0.0003
30973_174     2       96  0.010  0.010  0.010  1.000  0.995  0.990  0.979  0.990   ND  -0.0003
30973_183     2       94  0.021  0.311  0.262  0.952  0.869  0.788  0.525  0.726   ND   0.8622
30973_187     2       96  0.010  0.031  0.030  1.000  0.985  0.970  0.940  0.970   ND   0.2936
30973_198     2       95  0.021  0.309  0.260  0.953  0.870  0.789  0.527  0.728   ND   0.8621
30976_11      2      104  0.010  0.010  0.010  1.000  0.995  0.991  0.981  0.990   ND  -0.0002
30976_18      2      104  0.010  0.010  0.010  1.000  0.995  0.991  0.981  0.990   ND  -0.0002
30976_29      2      100  0.040  0.095  0.090  0.995  0.955  0.916  0.824  0.908   ND   0.3677
30976_53      2      104  0.010  0.010  0.010  1.000  0.995  0.991  0.981  0.990   ND  -0.0002
30976_71      2      104  0.010  0.010  0.010  1.000  0.995  0.991  0.981  0.990   ND  -0.0002
30976_77      2      103  0.010  0.066  0.063  0.998  0.968  0.940  0.875  0.936   ND   0.5178
30976_79      2      103  0.010  0.066  0.063  0.998  0.968  0.940  0.875  0.936   ND   0.5178
30976_95      2      104  0.000  0.019  0.019  1.000  0.991  0.981  0.962  0.981   ND   0.3351
30976_107     2      102  0.020  0.020  0.019  1.000  0.990  0.981  0.962  0.981   ND  -0.0009
30976_109     2      104  0.010  0.010  0.010  1.000  0.995  0.991  0.981  0.990   ND  -0.0002
30976_136     2      104  0.010  0.010  0.010  1.000  0.995  0.991  0.981  0.990   ND  -0.0002
30976_153     2      104  0.010  0.010  0.010  1.000  0.995  0.991  0.981  0.990   ND  -0.0002
30976_158     2      101  0.040  0.095  0.090  0.996  0.955  0.916  0.825  0.909   ND   0.3672
30976_168     2      103  0.000  0.057  0.055  0.998  0.973  0.947  0.892  0.945   ND   0.5830
30976_180     2      104  0.010  0.010  0.010  1.000  0.995  0.991  0.981  0.990   ND  -0.0002
30976_196     2      103  0.010  0.010  0.010  1.000  0.995  0.990  0.981  0.990   ND  -0.0002
30976_199     2      103  0.010  0.010  0.010  1.000  0.995  0.990  0.981  0.990   ND  -0.0002
31004_13      2      100  0.020  0.020  0.020  1.000  0.990  0.981  0.961  0.980   ND  -0.0009
