Cervus 3.0.7 - (c) Copyright Tristan Marshall 1998-2014
Distributed by Field Genetics Ltd - www.fieldgenetics.com
Licensed for non-commercial use only

Allele frequency analysis completed 8/26/2015 12:20:11 PM


**** Summary statistics ****


Locus       k    N        HObs   HExp   PIC    NE-1P  NE-2P  NE-PP  NE-I   NE-SI  HW   F(Null)
dDocent_Contig_17.37    2      204  0.152  0.141  0.131  0.990  0.935  0.882  0.749  0.867   ND  -0.0313
dDocent_Contig_17.42    2      204  0.363  0.408  0.324  0.917  0.838  0.750  0.435  0.655   NS   0.0574
dDocent_Contig_17.67    2      204  0.515  0.483  0.366  0.884  0.817  0.725  0.385  0.605   NS  -0.0331
dDocent_Contig_17.125    2      204  0.574  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0695
dDocent_Contig_17.147    2      204  0.373  0.334  0.277  0.945  0.861  0.778  0.501  0.709   NS  -0.0565
dDocent_Contig_17.181    2      204  0.245  0.244  0.214  0.970  0.893  0.820  0.601  0.778   ND  -0.0025
dDocent_Contig_17.189    2      204  0.441  0.420  0.331  0.912  0.834  0.745  0.425  0.647   NS  -0.0255
dDocent_Contig_17.206    2      203  0.424  0.409  0.325  0.917  0.838  0.749  0.434  0.654   NS  -0.0186
dDocent_Contig_24.33    2      200  0.375  0.352  0.290  0.938  0.855  0.770  0.482  0.695   NS  -0.0324
dDocent_Contig_24.141    2      200  0.130  0.122  0.114  0.993  0.943  0.896  0.779  0.884   ND  -0.0248
dDocent_Contig_27.79    2      200  0.065  0.063  0.061  0.998  0.970  0.942  0.880  0.939   ND  -0.0080
dDocent_Contig_27.157    2      199  0.060  0.059  0.057  0.998  0.972  0.946  0.888  0.943   ND  -0.0070
dDocent_Contig_27.203    2      198  0.091  0.087  0.083  0.996  0.958  0.922  0.838  0.916   ND  -0.0141
dDocent_Contig_29.54    2      200  0.375  0.347  0.286  0.940  0.857  0.773  0.488  0.699   NS  -0.0402
dDocent_Contig_29.98    2      200  0.150  0.139  0.129  0.990  0.935  0.883  0.751  0.868   ND  -0.0307
dDocent_Contig_29.135    2      199  0.106  0.100  0.095  0.995  0.953  0.912  0.815  0.904   ND  -0.0179
dDocent_Contig_58.16    2      202  0.129  0.121  0.113  0.993  0.943  0.896  0.781  0.885   ND  -0.0244
dDocent_Contig_58.25    2      202  0.347  0.330  0.275  0.946  0.862  0.779  0.504  0.711   NS  -0.0254
dDocent_Contig_58.144    2      201  0.080  0.077  0.074  0.997  0.963  0.931  0.856  0.926   ND  -0.0113
dDocent_Contig_68.48    2      200  0.400  0.381  0.308  0.928  0.846  0.759  0.457  0.674   NS  -0.0257
dDocent_Contig_68.85    2      200  0.055  0.054  0.052  0.999  0.974  0.950  0.897  0.948   ND  -0.0060
dDocent_Contig_68.94    2      200  0.370  0.338  0.281  0.943  0.860  0.776  0.496  0.705   NS  -0.0459
