Cervus 3.0.7 - (c) Copyright Tristan Marshall 1998-2014
Distributed by Field Genetics Ltd - www.fieldgenetics.com
Licensed for non-commercial use only

Allele frequency analysis completed 2/17/2016 2:02:15 PM


**** Summary statistics ****


Locus       k    N        HObs   HExp   PIC    NE-1P  NE-2P  NE-PP  NE-I   NE-SI  HW   F(Null)
dDocent_Contig_1_45    2      845  0.298  0.280  0.241  0.961  0.880  0.802  0.558  0.750   NS  -0.0322
dDocent_Contig_1_148    2      845  0.285  0.282  0.242  0.960  0.879  0.801  0.555  0.748   NS  -0.0057
dDocent_Contig_21_37    2      833  0.311  0.308  0.261  0.953  0.870  0.789  0.526  0.727   NS  -0.0045
dDocent_Contig_21_78    2      833  0.178  0.172  0.157  0.985  0.922  0.861  0.701  0.839   NS  -0.0171
dDocent_Contig_21_144    2      833  0.527  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0268
dDocent_Contig_85_57    2      824  0.248  0.242  0.213  0.971  0.894  0.821  0.604  0.780   NS  -0.0116
dDocent_Contig_85_65    2      824  0.250  0.242  0.213  0.971  0.894  0.821  0.604  0.780   NS  -0.0164
dDocent_Contig_85_172    2      824  0.525  0.497  0.373  0.877  0.813  0.720  0.377  0.596   NS  -0.0280
dDocent_Contig_107_30    2      826  0.489  0.486  0.368  0.882  0.816  0.723  0.382  0.603   NS  -0.0031
dDocent_Contig_107_48    2      826  0.420  0.421  0.332  0.912  0.834  0.745  0.424  0.646   NS   0.0007
dDocent_Contig_107_80    2      826  0.104  0.110  0.103  0.994  0.948  0.905  0.799  0.895   ND   0.0251
dDocent_Contig_276_132    2      845  0.174  0.182  0.165  0.983  0.917  0.855  0.686  0.831   NS   0.0223
dDocent_Contig_276_157    2      845  0.415  0.420  0.332  0.912  0.834  0.745  0.425  0.646   NS   0.0055
dDocent_Contig_389_155    2      846  0.156  0.158  0.145  0.988  0.927  0.870  0.722  0.852   NS   0.0053
dDocent_Contig_398_12    2      847  0.491  0.492  0.371  0.879  0.815  0.721  0.379  0.599   NS   0.0009
dDocent_Contig_398_14    2      847  0.470  0.473  0.361  0.888  0.820  0.727  0.390  0.611   NS   0.0027
dDocent_Contig_435_196    2      853  0.307  0.279  0.240  0.961  0.880  0.802  0.559  0.750   NS  -0.0479
dDocent_Contig_435_199    2      853  0.654  0.459  0.354  0.895  0.823  0.732  0.398  0.620  ***  -0.1756
dDocent_Contig_435_200    3      853  0.771  0.548  0.462  0.850  0.735  0.601  0.291  0.549  ***  -0.1818
dDocent_Contig_486_21    2      849  0.131  0.122  0.115  0.993  0.943  0.895  0.778  0.883   ND  -0.0250
dDocent_Contig_537_31    2      851  0.143  0.139  0.129  0.990  0.935  0.883  0.751  0.868   ND  -0.0151
dDocent_Contig_601_37    2      827  0.116  0.124  0.116  0.992  0.942  0.894  0.775  0.882   ND   0.0336
dDocent_Contig_601_60    2      827  0.104  0.101  0.096  0.995  0.952  0.911  0.814  0.903   ND  -0.0158
dDocent_Contig_601_118    2      827  0.175  0.182  0.165  0.984  0.917  0.855  0.686  0.831   NS   0.0174
dDocent_Contig_601_182    2      826  0.533  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0319
dDocent_Contig_631_33    2      827  0.386  0.340  0.282  0.942  0.859  0.775  0.494  0.703   NS  -0.0632
dDocent_Contig_631_197    2      825  0.205  0.201  0.181  0.980  0.910  0.843  0.659  0.814   NS  -0.0095
dDocent_Contig_832_9    2      848  0.294  0.278  0.239  0.961  0.880  0.802  0.560  0.751   NS  -0.0273
dDocent_Contig_832_20    2      848  0.097  0.094  0.090  0.996  0.955  0.916  0.825  0.909   ND  -0.0133
dDocent_Contig_832_109    2      848  0.133  0.133  0.124  0.991  0.938  0.888  0.761  0.874   ND  -0.0028
dDocent_Contig_832_177    2      848  0.136  0.137  0.127  0.991  0.936  0.885  0.755  0.870   ND   0.0034
dDocent_Contig_848_63    2      847  0.152  0.149  0.138  0.989  0.931  0.876  0.736  0.860   NS  -0.0121
dDocent_Contig_848_64    2      847  0.345  0.325  0.272  0.947  0.864  0.781  0.508  0.715   NS  -0.0294
dDocent_Contig_889_111    2      833  0.337  0.336  0.279  0.944  0.860  0.777  0.498  0.707   NS  -0.0029
dDocent_Contig_969_24    2      845  0.499  0.493  0.371  0.879  0.814  0.721  0.379  0.599   NS  -0.0072
dDocent_Contig_969_96    2      845  0.454  0.411  0.326  0.916  0.837  0.748  0.432  0.653   NS  -0.0505
dDocent_Contig_969_110    2      845  0.436  0.424  0.334  0.910  0.833  0.743  0.422  0.643   NS  -0.0131
dDocent_Contig_969_115    2      845  0.338  0.331  0.276  0.945  0.862  0.779  0.502  0.710   NS  -0.0109
dDocent_Contig_969_147    2      845  0.409  0.392  0.315  0.923  0.842  0.755  0.447  0.666   NS  -0.0220
dDocent_Contig_969_163    2      845  0.205  0.215  0.192  0.977  0.904  0.835  0.639  0.802   NS   0.0244
dDocent_Contig_1044_12    2      835  0.453  0.426  0.335  0.909  0.832  0.743  0.420  0.642   NS  -0.0303
dDocent_Contig_1044_45    2      835  0.144  0.142  0.132  0.990  0.934  0.881  0.747  0.866   ND  -0.0076
dDocent_Contig_1044_129    2      835  0.211  0.204  0.183  0.979  0.909  0.842  0.655  0.812   NS  -0.0176
dDocent_Contig_1044_163    2      835  0.309  0.306  0.259  0.953  0.871  0.790  0.529  0.730   NS  -0.0059
dDocent_Contig_1117_16    2      823  0.160  0.160  0.147  0.987  0.927  0.869  0.719  0.850   NS  -0.0023
dDocent_Contig_1117_169    2      823  0.111  0.115  0.109  0.993  0.946  0.900  0.790  0.890   ND   0.0205
dDocent_Contig_1119_41    2      830  0.158  0.164  0.150  0.987  0.925  0.867  0.713  0.847   NS   0.0173
dDocent_Contig_1119_93    2      830  0.180  0.177  0.161  0.984  0.919  0.858  0.693  0.835   NS  -0.0068
dDocent_Contig_1262_100    2      835  0.181  0.190  0.172  0.982  0.914  0.850  0.675  0.824   NS   0.0234
dDocent_Contig_1269_45    2      844  0.237  0.428  0.336  0.908  0.832  0.742  0.419  0.641  ***   0.2874
dDocent_Contig_1330_80    2      845  0.265  0.256  0.223  0.967  0.889  0.814  0.587  0.769   NS  -0.0186
dDocent_Contig_1330_85    2      845  0.269  0.256  0.223  0.967  0.888  0.813  0.586  0.768   NS  -0.0236
dDocent_Contig_1330_91    2      845  0.179  0.178  0.162  0.984  0.919  0.857  0.691  0.834   NS  -0.0017
dDocent_Contig_1330_95    2      845  0.191  0.197  0.177  0.981  0.911  0.846  0.664  0.818   NS   0.0162
dDocent_Contig_1330_121    2      845  0.182  0.198  0.178  0.980  0.911  0.845  0.663  0.817   NS   0.0408
dDocent_Contig_1330_123    2      845  0.204  0.194  0.175  0.981  0.912  0.848  0.668  0.820   NS  -0.0239
dDocent_Contig_1330_143    2      845  0.382  0.370  0.301  0.932  0.849  0.763  0.466  0.682   NS  -0.0172
