Cervus 3.0.7 - (c) Copyright Tristan Marshall 1998-2014
Distributed by Field Genetics Ltd - www.fieldgenetics.com
Licensed for non-commercial use only

Allele frequency analysis completed 7/26/2016 4:54:10 PM


**** Summary statistics ****


Locus       k    N        HObs   HExp   PIC    NE-1P  NE-2P  NE-PP  NE-I   NE-SI  HW   F(Null)
dDocent_Contig_107_30    2     1512  0.494  0.489  0.369  0.881  0.815  0.722  0.381  0.601   NS  -0.0056
dDocent_Contig_223_125    2     1485  0.459  0.494  0.372  0.878  0.814  0.721  0.378  0.598   NS   0.0361
dDocent_Contig_281_52    2     1485  0.525  0.497  0.373  0.877  0.813  0.720  0.377  0.596   NS  -0.0280
dDocent_Contig_300_134    2     1495  0.485  0.497  0.373  0.877  0.813  0.720  0.377  0.596   NS   0.0116
dDocent_Contig_308_42    2     1490  0.489  0.493  0.371  0.879  0.814  0.721  0.379  0.598   NS   0.0042
dDocent_Contig_674_43    2     1492  0.475  0.484  0.367  0.883  0.817  0.724  0.383  0.604   NS   0.0097
dDocent_Contig_724_114    2     1492  0.493  0.489  0.370  0.880  0.815  0.722  0.381  0.601   NS  -0.0035
dDocent_Contig_784_30    2     1489  0.486  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0134
dDocent_Contig_807_110    2     1481  0.511  0.494  0.372  0.878  0.814  0.721  0.378  0.597   NS  -0.0169
dDocent_Contig_969_24    2     1508  0.486  0.488  0.369  0.881  0.816  0.722  0.381  0.601   NS   0.0020
dDocent_Contig_1027_63    2     1504  0.492  0.484  0.367  0.883  0.817  0.724  0.383  0.604   NS  -0.0081
dDocent_Contig_1113_70    2     1474  0.490  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0098
dDocent_Contig_1118_45    2     1493  0.491  0.488  0.369  0.881  0.816  0.723  0.381  0.602   NS  -0.0035
dDocent_Contig_1152_37    2     1488  0.495  0.482  0.366  0.884  0.817  0.724  0.385  0.605   NS  -0.0137
dDocent_Contig_1194_89    2     1502  0.523  0.498  0.374  0.876  0.813  0.719  0.376  0.595   NS  -0.0246
dDocent_Contig_1491_64    2     1486  0.510  0.485  0.367  0.883  0.816  0.724  0.383  0.603   NS  -0.0255
dDocent_Contig_1491_94    2     1486  0.484  0.497  0.373  0.876  0.813  0.720  0.377  0.596   NS   0.0134
dDocent_Contig_1583_70    2     1499  0.461  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0406
dDocent_Contig_1675_35    2     1499  0.510  0.497  0.374  0.876  0.813  0.720  0.376  0.596   NS  -0.0131
dDocent_Contig_1777_104    2     1519  0.488  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0122
dDocent_Contig_1777_116    2     1519  0.487  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0136
dDocent_Contig_1777_143    2     1506  0.483  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0168
dDocent_Contig_1841_7    2     1490  0.521  0.498  0.374  0.876  0.813  0.719  0.376  0.595   NS  -0.0230
dDocent_Contig_1841_46    2     1490  0.508  0.499  0.374  0.876  0.813  0.719  0.376  0.595   NS  -0.0093
dDocent_Contig_1979_32    2     1468  0.481  0.492  0.371  0.879  0.815  0.721  0.379  0.599   NS   0.0108
dDocent_Contig_1979_123    2     1468  0.497  0.496  0.373  0.877  0.813  0.720  0.377  0.596   NS  -0.0003
dDocent_Contig_1998_62    2     1466  0.490  0.484  0.367  0.883  0.817  0.724  0.384  0.604   NS  -0.0061
dDocent_Contig_2048_116    2     1494  0.493  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0073
dDocent_Contig_2120_51    2     1511  0.515  0.491  0.370  0.880  0.815  0.722  0.380  0.600   NS  -0.0241
dDocent_Contig_2120_81    2     1511  0.509  0.481  0.365  0.884  0.817  0.725  0.385  0.606   NS  -0.0284
dDocent_Contig_2120_113    2     1511  0.505  0.480  0.365  0.885  0.818  0.725  0.385  0.606   NS  -0.0250
dDocent_Contig_2121_53    2     1495  0.492  0.490  0.370  0.880  0.815  0.722  0.380  0.600   NS  -0.0019
dDocent_Contig_2196_92    2     1522  0.517  0.494  0.372  0.878  0.814  0.721  0.378  0.598   NS  -0.0228
dDocent_Contig_2202_49    2     1499  0.493  0.495  0.373  0.877  0.814  0.720  0.377  0.597   NS   0.0023
dDocent_Contig_2397_79    2     1465  0.528  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0276
dDocent_Contig_2432_136    2     1505  0.472  0.487  0.368  0.882  0.816  0.723  0.382  0.602   NS   0.0156
dDocent_Contig_2682_72    2     1483  0.499  0.493  0.371  0.879  0.814  0.721  0.379  0.598   NS  -0.0062
dDocent_Contig_2832_124    2     1477  0.515  0.496  0.373  0.877  0.813  0.720  0.377  0.596   NS  -0.0188
dDocent_Contig_2863_61    2     1495  0.498  0.497  0.374  0.876  0.813  0.720  0.376  0.596   NS  -0.0011
dDocent_Contig_2914_36    2     1501  0.479  0.490  0.370  0.880  0.815  0.722  0.380  0.600   NS   0.0116
dDocent_Contig_2914_65    2     1501  0.465  0.485  0.367  0.882  0.816  0.724  0.383  0.603   NS   0.0209
dDocent_Contig_2915_110    2     1470  0.496  0.490  0.370  0.880  0.815  0.722  0.380  0.600   NS  -0.0061
dDocent_Contig_3300_90    2     1520  0.487  0.490  0.370  0.880  0.815  0.722  0.380  0.600   NS   0.0035
dDocent_Contig_3383_30    2     1498  0.484  0.482  0.366  0.884  0.817  0.724  0.384  0.605   NS  -0.0019
dDocent_Contig_3492_32    2     1478  0.469  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0321
dDocent_Contig_3493_53    2     1499  0.487  0.487  0.368  0.881  0.816  0.723  0.382  0.602   NS  -0.0001
dDocent_Contig_3525_64    2     1525  0.496  0.484  0.367  0.883  0.817  0.724  0.384  0.604   NS  -0.0125
dDocent_Contig_3563_109    2     1476  0.463  0.483  0.366  0.884  0.817  0.724  0.384  0.605   NS   0.0208
dDocent_Contig_3658_133    2     1484  0.484  0.491  0.370  0.880  0.815  0.722  0.380  0.600   NS   0.0071
dDocent_Contig_3794_86    2     1505  0.501  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0013
dDocent_Contig_3914_49    2     1469  0.476  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0243
dDocent_Contig_3999_105    2     1487  0.496  0.481  0.365  0.884  0.817  0.725  0.385  0.606   NS  -0.0158
dDocent_Contig_4000_96    2     1522  0.480  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0196
dDocent_Contig_4077_10    2     1477  0.521  0.497  0.373  0.877  0.813  0.720  0.377  0.596   NS  -0.0244
dDocent_Contig_4077_89    2     1477  0.521  0.495  0.372  0.878  0.814  0.720  0.378  0.597   NS  -0.0260
dDocent_Contig_4151_132    2     1502  0.482  0.481  0.365  0.884  0.817  0.725  0.385  0.606   NS  -0.0012
dDocent_Contig_4311_57    2     1466  0.517  0.493  0.371  0.879  0.814  0.721  0.379  0.598   NS  -0.0242
dDocent_Contig_4648_8    2     1503  0.501  0.496  0.373  0.877  0.814  0.720  0.377  0.597   NS  -0.0056
dDocent_Contig_4673_110    2     1482  0.492  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0082
dDocent_Contig_4673_134    2     1480  0.474  0.482  0.366  0.884  0.817  0.724  0.384  0.605   NS   0.0090
dDocent_Contig_4786_15    2     1479  0.471  0.486  0.368  0.882  0.816  0.723  0.382  0.603   NS   0.0151
dDocent_Contig_4786_54    2     1479  0.508  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0084
dDocent_Contig_4786_78    2     1479  0.472  0.483  0.366  0.883  0.817  0.724  0.384  0.605   NS   0.0115
dDocent_Contig_4871_106    2     1504  0.491  0.490  0.370  0.880  0.815  0.722  0.380  0.600   NS  -0.0016
