Cervus 3.0.7 - (c) Copyright Tristan Marshall 1998-2014
Distributed by Field Genetics Ltd - www.fieldgenetics.com
Licensed for non-commercial use only

Allele frequency analysis completed 7/20/2016 1:23:55 PM


**** Summary statistics ****


Locus       k    N        HObs   HExp   PIC    NE-1P  NE-2P  NE-PP  NE-I   NE-SI  HW   F(Null)
dDocent_Contig_107_30    2     1631  0.502  0.489  0.369  0.880  0.815  0.722  0.381  0.601   NS  -0.0133
dDocent_Contig_223_125    2     1583  0.460  0.495  0.372  0.878  0.814  0.720  0.378  0.597   NS   0.0366
dDocent_Contig_281_52    2     1601  0.530  0.497  0.374  0.876  0.813  0.720  0.376  0.596   NS  -0.0322
dDocent_Contig_300_134    2     1576  0.485  0.496  0.373  0.877  0.813  0.720  0.377  0.596   NS   0.0110
dDocent_Contig_308_42    2     1603  0.492  0.491  0.371  0.879  0.815  0.722  0.380  0.599   NS  -0.0011
dDocent_Contig_674_43    2     1589  0.479  0.485  0.367  0.883  0.816  0.724  0.383  0.604   NS   0.0058
dDocent_Contig_724_114    2     1570  0.495  0.489  0.369  0.881  0.815  0.722  0.381  0.601   NS  -0.0064
dDocent_Contig_784_30    2     1576  0.492  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0071
dDocent_Contig_807_110    2     1575  0.508  0.494  0.372  0.878  0.814  0.721  0.378  0.597   NS  -0.0138
dDocent_Contig_969_24    2     1611  0.486  0.490  0.370  0.880  0.815  0.722  0.380  0.600   NS   0.0037
dDocent_Contig_1027_63    2     1602  0.493  0.485  0.368  0.882  0.816  0.723  0.383  0.603   NS  -0.0074
dDocent_Contig_1113_70    2     1584  0.490  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0097
dDocent_Contig_1118_45    2     1603  0.494  0.487  0.368  0.882  0.816  0.723  0.382  0.602   NS  -0.0075
dDocent_Contig_1152_37    2     1604  0.499  0.483  0.366  0.883  0.817  0.724  0.384  0.605   NS  -0.0168
dDocent_Contig_1194_89    2     1609  0.521  0.498  0.374  0.876  0.813  0.720  0.376  0.595   NS  -0.0230
dDocent_Contig_1491_64    2     1571  0.512  0.484  0.367  0.883  0.817  0.724  0.383  0.604   NS  -0.0279
dDocent_Contig_1491_94    2     1571  0.488  0.497  0.374  0.876  0.813  0.720  0.376  0.596   NS   0.0090
dDocent_Contig_1583_70    2     1597  0.463  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0379
