Cervus 3.0.7 - (c) Copyright Tristan Marshall 1998-2014
Distributed by Field Genetics Ltd - www.fieldgenetics.com
Licensed for non-commercial use only

Allele frequency analysis completed 7/18/2016 3:49:05 PM


**** Summary statistics ****


Locus       k    N        HObs   HExp   PIC    NE-1P  NE-2P  NE-PP  NE-I   NE-SI  HW   F(Null)
dDocent_Contig_107_30    2     1518  0.497  0.489  0.369  0.881  0.815  0.722  0.381  0.601   NS  -0.0089
dDocent_Contig_223_125    2     1491  0.459  0.494  0.372  0.878  0.814  0.721  0.378  0.597   NS   0.0370
dDocent_Contig_281_52    2     1492  0.527  0.497  0.373  0.877  0.813  0.720  0.377  0.596   NS  -0.0294
dDocent_Contig_300_134    2     1501  0.484  0.497  0.373  0.877  0.813  0.720  0.377  0.596   NS   0.0131
dDocent_Contig_308_42    2     1495  0.491  0.493  0.371  0.878  0.814  0.721  0.379  0.598   NS   0.0021
dDocent_Contig_674_43    2     1498  0.477  0.484  0.367  0.883  0.817  0.724  0.383  0.604   NS   0.0071
dDocent_Contig_724_114    2     1496  0.499  0.490  0.370  0.880  0.815  0.722  0.380  0.600   NS  -0.0090
dDocent_Contig_784_30    2     1495  0.489  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0108
dDocent_Contig_807_110    2     1484  0.516  0.494  0.372  0.878  0.814  0.721  0.378  0.597   NS  -0.0219
dDocent_Contig_969_24    2     1512  0.491  0.488  0.369  0.881  0.815  0.722  0.381  0.601   NS  -0.0026
dDocent_Contig_1027_63    2     1510  0.492  0.485  0.367  0.882  0.816  0.723  0.383  0.603   NS  -0.0072
dDocent_Contig_1113_70    2     1477  0.490  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0102
dDocent_Contig_1118_45    2     1498  0.494  0.488  0.369  0.881  0.816  0.723  0.382  0.602   NS  -0.0067
dDocent_Contig_1152_37    2     1493  0.498  0.482  0.366  0.884  0.817  0.724  0.384  0.605   NS  -0.0166
dDocent_Contig_1194_89    2     1507  0.524  0.498  0.374  0.876  0.813  0.719  0.376  0.595   NS  -0.0250
dDocent_Contig_1491_64    2     1489  0.511  0.485  0.367  0.883  0.816  0.724  0.383  0.604   NS  -0.0267
dDocent_Contig_1491_94    2     1489  0.486  0.497  0.374  0.876  0.813  0.720  0.376  0.596   NS   0.0118
dDocent_Contig_1583_70    2     1505  0.464  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0375
dDocent_Contig_1675_35    2     1506  0.512  0.498  0.374  0.876  0.813  0.720  0.376  0.595   NS  -0.0143
dDocent_Contig_1777_104    2     1526  0.488  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0125
dDocent_Contig_1777_116    2     1526  0.486  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0138
dDocent_Contig_1777_143    2     1513  0.483  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0171
dDocent_Contig_1841_7    2     1497  0.524  0.498  0.374  0.876  0.813  0.719  0.376  0.595   NS  -0.0252
dDocent_Contig_1841_46    2     1497  0.511  0.499  0.374  0.876  0.813  0.719  0.376  0.595   NS  -0.0123
dDocent_Contig_1979_32    2     1472  0.482  0.491  0.371  0.879  0.815  0.722  0.380  0.599   NS   0.0090
dDocent_Contig_1979_123    2     1472  0.500  0.497  0.373  0.877  0.813  0.720  0.377  0.596   NS  -0.0037
dDocent_Contig_1998_62    2     1474  0.491  0.484  0.367  0.883  0.817  0.724  0.384  0.604   NS  -0.0079
dDocent_Contig_2048_116    2     1502  0.493  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0065
dDocent_Contig_2120_51    2     1518  0.518  0.491  0.370  0.879  0.815  0.722  0.380  0.599   NS  -0.0271
dDocent_Contig_2120_81    2     1518  0.513  0.482  0.366  0.884  0.817  0.724  0.385  0.605   NS  -0.0309
dDocent_Contig_2120_113    2     1518  0.509  0.481  0.365  0.884  0.817  0.725  0.385  0.606   NS  -0.0279
dDocent_Contig_2121_53    2     1502  0.493  0.490  0.370  0.880  0.815  0.722  0.380  0.600   NS  -0.0035
dDocent_Contig_2196_92    2     1529  0.519  0.494  0.372  0.878  0.814  0.721  0.378  0.598   NS  -0.0247
dDocent_Contig_2202_49    2     1503  0.498  0.495  0.373  0.877  0.814  0.720  0.377  0.597   NS  -0.0031
dDocent_Contig_2397_79    2     1469  0.530  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0294
dDocent_Contig_2432_136    2     1509  0.472  0.487  0.368  0.881  0.816  0.723  0.382  0.602   NS   0.0159
dDocent_Contig_2682_72    2     1489  0.500  0.493  0.372  0.878  0.814  0.721  0.378  0.598   NS  -0.0072
dDocent_Contig_2832_124    2     1486  0.517  0.496  0.373  0.877  0.813  0.720  0.377  0.596   NS  -0.0203
dDocent_Contig_2863_61    2     1503  0.497  0.498  0.374  0.876  0.813  0.720  0.376  0.595   NS   0.0004
