Cervus 3.0.7 - (c) Copyright Tristan Marshall 1998-2014
Distributed by Field Genetics Ltd - www.fieldgenetics.com
Licensed for non-commercial use only

Allele frequency analysis completed 1/7/2016 12:41:59 PM


**** Summary statistics ****


Locus       k    N        HObs   HExp   PIC    NE-1P  NE-2P  NE-PP  NE-I   NE-SI  HW   F(Null)
dDocent_Contig_276_132    2      959  0.186  0.190  0.172  0.982  0.914  0.850  0.674  0.823   NS   0.0119
dDocent_Contig_276_157    2      959  0.414  0.422  0.333  0.911  0.834  0.744  0.423  0.645   NS   0.0090
dDocent_Contig_435_196    2      976  0.305  0.277  0.239  0.962  0.881  0.803  0.561  0.752   NS  -0.0489
dDocent_Contig_435_199    2      976  0.642  0.455  0.351  0.897  0.824  0.733  0.401  0.623  ***  -0.1715
dDocent_Contig_435_200    3      976  0.760  0.544  0.458  0.852  0.737  0.604  0.294  0.552  ***  -0.1795
dDocent_Contig_486_21    2      972  0.127  0.119  0.112  0.993  0.944  0.898  0.784  0.887   ND  -0.0238
dDocent_Contig_537_31    2      960  0.147  0.143  0.133  0.990  0.934  0.880  0.744  0.865   NS  -0.0128
dDocent_Contig_816_25    2      979  0.247  0.221  0.197  0.976  0.902  0.832  0.631  0.797   NS  -0.0553
dDocent_Contig_816_26    2      979  0.715  0.484  0.367  0.883  0.817  0.724  0.383  0.604  ***  -0.1926
dDocent_Contig_1670_166    2      976  0.168  0.154  0.142  0.988  0.929  0.873  0.728  0.855   NS  -0.0362
dDocent_Contig_1915_36    2      956  0.158  0.165  0.151  0.986  0.924  0.866  0.711  0.846   NS   0.0206
dDocent_Contig_1915_78    2      956  0.456  0.438  0.342  0.904  0.829  0.739  0.412  0.634   NS  -0.0208
dDocent_Contig_1915_99    2      956  0.145  0.149  0.138  0.989  0.931  0.876  0.735  0.859   NS   0.0122
dDocent_Contig_1915_114    2      956  0.117  0.123  0.116  0.992  0.942  0.894  0.777  0.883   ND   0.0248
dDocent_Contig_1915_141    2      956  0.370  0.341  0.283  0.942  0.859  0.775  0.493  0.703   NS  -0.0420
