Cervus 3.0.7 - (c) Copyright Tristan Marshall 1998-2014
Distributed by Field Genetics Ltd - www.fieldgenetics.com
Licensed for non-commercial use only

Allele frequency analysis completed 3/4/2016 3:57:14 PM


**** Summary statistics ****


Locus       k    N        HObs   HExp   PIC    NE-1P  NE-2P  NE-PP  NE-I   NE-SI  HW   F(Null)
dDocent_Contig_21_144    2      822  0.527  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0266
dDocent_Contig_85_172    2      820  0.523  0.497  0.374  0.876  0.813  0.720  0.376  0.596   NS  -0.0256
dDocent_Contig_107_30    2      822  0.489  0.487  0.368  0.882  0.816  0.723  0.382  0.602   NS  -0.0028
dDocent_Contig_107_48    2      822  0.421  0.420  0.331  0.912  0.834  0.745  0.425  0.647   NS  -0.0018
dDocent_Contig_276_157    2      840  0.408  0.420  0.332  0.912  0.834  0.745  0.425  0.646   NS   0.0135
dDocent_Contig_398_12    2      828  0.483  0.492  0.371  0.879  0.815  0.721  0.379  0.599   NS   0.0086
dDocent_Contig_398_14    2      828  0.467  0.474  0.361  0.888  0.819  0.727  0.389  0.611   NS   0.0064
dDocent_Contig_435_199    2      855  0.644  0.451  0.349  0.898  0.825  0.734  0.403  0.625  ***  -0.1767
dDocent_Contig_601_182    2      824  0.530  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0298
dDocent_Contig_631_33    2      827  0.372  0.369  0.301  0.932  0.849  0.763  0.466  0.682   NS  -0.0044
dDocent_Contig_848_64    2      832  0.346  0.332  0.277  0.945  0.861  0.778  0.501  0.709   NS  -0.0206
dDocent_Contig_889_111    2      826  0.335  0.335  0.279  0.944  0.861  0.777  0.499  0.707   NS  -0.0010
dDocent_Contig_969_24    2      832  0.498  0.493  0.371  0.879  0.814  0.721  0.379  0.598   NS  -0.0052
dDocent_Contig_969_96    2      832  0.452  0.411  0.326  0.916  0.837  0.748  0.432  0.653   NS  -0.0480
dDocent_Contig_969_110    2      832  0.430  0.423  0.333  0.911  0.833  0.744  0.423  0.645   NS  -0.0094
dDocent_Contig_969_115    2      832  0.339  0.334  0.278  0.944  0.861  0.778  0.500  0.708   NS  -0.0080
dDocent_Contig_969_147    2      832  0.409  0.393  0.315  0.923  0.842  0.755  0.446  0.665   NS  -0.0203
dDocent_Contig_1044_12    2      829  0.446  0.426  0.335  0.909  0.832  0.743  0.420  0.642   NS  -0.0233
dDocent_Contig_1269_45    2      828  0.234  0.428  0.336  0.908  0.832  0.742  0.419  0.641  ***   0.2926
dDocent_Contig_1330_143    2      828  0.380  0.371  0.302  0.931  0.849  0.763  0.465  0.681   NS  -0.0129
dDocent_Contig_1330_176    2      828  0.504  0.490  0.370  0.880  0.815  0.722  0.380  0.600   NS  -0.0140
dDocent_Contig_1370_131    2      843  0.377  0.381  0.309  0.927  0.846  0.759  0.456  0.673   NS   0.0052
dDocent_Contig_1370_200    2      842  0.378  0.366  0.299  0.933  0.851  0.765  0.469  0.684   NS  -0.0158
dDocent_Contig_1370_204    2      842  0.487  0.450  0.348  0.899  0.826  0.735  0.404  0.626   NS  -0.0401
dDocent_Contig_1675_35    2      830  0.516  0.498  0.374  0.876  0.813  0.720  0.376  0.595   NS  -0.0179
dDocent_Contig_1723_192    2      828  0.469  0.360  0.295  0.935  0.852  0.767  0.474  0.689  ***  -0.1305
dDocent_Contig_1772_93    2      831  0.395  0.380  0.308  0.928  0.846  0.759  0.457  0.674   NS  -0.0189
dDocent_Contig_1797_112    2      829  0.334  0.345  0.285  0.941  0.857  0.773  0.489  0.700   NS   0.0156
dDocent_Contig_1797_195    2      828  0.486  0.471  0.360  0.889  0.820  0.728  0.391  0.613   NS  -0.0160
dDocent_Contig_1852_116    2      842  0.394  0.393  0.316  0.923  0.842  0.755  0.446  0.665   NS  -0.0020
dDocent_Contig_1915_78    2      835  0.453  0.434  0.339  0.906  0.830  0.740  0.415  0.637   NS  -0.0219
dDocent_Contig_1915_141    2      835  0.370  0.339  0.281  0.943  0.859  0.775  0.495  0.704   NS  -0.0440
dDocent_Contig_1986_189    2      829  0.355  0.347  0.287  0.940  0.857  0.772  0.487  0.698   NS  -0.0113
dDocent_Contig_1986_196    2      829  0.417  0.428  0.336  0.908  0.832  0.742  0.419  0.641   NS   0.0124
dDocent_Contig_1986_198    2      828  0.355  0.347  0.287  0.940  0.857  0.772  0.487  0.698   NS  -0.0115
dDocent_Contig_2121_53    2      828  0.517  0.490  0.370  0.880  0.815  0.722  0.380  0.600   NS  -0.0272
dDocent_Contig_2121_79    2      828  0.479  0.479  0.364  0.885  0.818  0.725  0.386  0.607   NS  -0.0008
dDocent_Contig_2143_16    2      820  0.440  0.422  0.333  0.911  0.834  0.744  0.424  0.645   NS  -0.0218
dDocent_Contig_2143_31    2      820  0.422  0.394  0.316  0.922  0.842  0.754  0.445  0.664   NS  -0.0346
dDocent_Contig_2143_151    2      820  0.485  0.475  0.362  0.887  0.819  0.727  0.389  0.610   NS  -0.0110
dDocent_Contig_2155_140    2      836  0.476  0.460  0.354  0.894  0.823  0.731  0.397  0.619   NS  -0.0170
dDocent_Contig_2155_176    2      836  0.488  0.466  0.357  0.892  0.821  0.730  0.394  0.616   NS  -0.0238
dDocent_Contig_2196_68    2      834  0.436  0.432  0.339  0.907  0.831  0.741  0.416  0.638   NS  -0.0053
dDocent_Contig_2196_92    2      834  0.528  0.494  0.372  0.878  0.814  0.721  0.378  0.597   NS  -0.0327
dDocent_Contig_2445_12    2      831  0.410  0.414  0.328  0.915  0.836  0.747  0.430  0.651   NS   0.0036
dDocent_Contig_2445_162    2      831  0.384  0.402  0.321  0.919  0.839  0.751  0.438  0.659   NS   0.0230
dDocent_Contig_2445_167    2      831  0.384  0.402  0.321  0.919  0.839  0.751  0.438  0.659   NS   0.0230
dDocent_Contig_2551_29    2      827  0.438  0.432  0.339  0.907  0.831  0.741  0.416  0.638   NS  -0.0066
dDocent_Contig_2551_121    2      827  0.445  0.432  0.339  0.907  0.831  0.741  0.416  0.638   NS  -0.0148
dDocent_Contig_2652_18    2      823  0.453  0.437  0.342  0.904  0.829  0.739  0.412  0.635   NS  -0.0182
dDocent_Contig_2888_146    2      830  0.543  0.406  0.323  0.918  0.838  0.750  0.436  0.656  ***  -0.1454
dDocent_Contig_2888_176    2      832  0.344  0.324  0.271  0.948  0.864  0.782  0.510  0.716   NS  -0.0300
dDocent_Contig_2888_185    2      832  0.514  0.497  0.373  0.877  0.813  0.720  0.377  0.596   NS  -0.0178
dDocent_Contig_2968_191    2      822  0.364  0.375  0.305  0.930  0.848  0.761  0.461  0.678   NS   0.0152
dDocent_Contig_2993_162    2      835  0.438  0.424  0.334  0.910  0.833  0.744  0.422  0.644   NS  -0.0174
dDocent_Contig_2999_156    2      826  0.329  0.327  0.273  0.947  0.863  0.780  0.506  0.713   NS  -0.0036
dDocent_Contig_3087_76    2      840  0.410  0.399  0.319  0.920  0.840  0.752  0.441  0.661   NS  -0.0133
dDocent_Contig_3087_159    2      840  0.293  0.442  0.344  0.902  0.828  0.737  0.409  0.631  ***   0.2030
dDocent_Contig_3129_67    2      822  0.388  0.391  0.314  0.924  0.843  0.756  0.448  0.667   NS   0.0029
dDocent_Contig_3129_119    2      822  0.316  0.328  0.274  0.946  0.863  0.780  0.505  0.712   NS   0.0183
dDocent_Contig_3206_188    2      844  0.440  0.457  0.353  0.895  0.824  0.732  0.399  0.621   NS   0.0196
dDocent_Contig_3300_90    2      836  0.496  0.491  0.370  0.880  0.815  0.722  0.380  0.600   NS  -0.0060
dDocent_Contig_3454_67    2      824  0.467  0.456  0.352  0.896  0.824  0.733  0.400  0.622   NS  -0.0124
dDocent_Contig_3513_45    2      826  0.485  0.479  0.364  0.885  0.818  0.725  0.386  0.607   NS  -0.0066
dDocent_Contig_3513_144    2      826  0.377  0.392  0.315  0.923  0.843  0.755  0.447  0.666   NS   0.0194
dDocent_Contig_3513_175    2      826  0.366  0.368  0.300  0.932  0.850  0.764  0.467  0.683   NS   0.0036
dDocent_Contig_3525_64    2      847  0.504  0.483  0.366  0.884  0.817  0.724  0.384  0.605   NS  -0.0218
dDocent_Contig_3578_40    2      836  0.423  0.426  0.335  0.909  0.832  0.743  0.420  0.642   NS   0.0028
dDocent_Contig_3578_100    2      836  0.431  0.419  0.331  0.912  0.834  0.745  0.425  0.647   NS  -0.0134
dDocent_Contig_3714_160    2      829  0.531  0.497  0.374  0.876  0.813  0.720  0.376  0.596   NS  -0.0327
