Cervus 3.0.7 - (c) Copyright Tristan Marshall 1998-2014
Distributed by Field Genetics Ltd - www.fieldgenetics.com
Licensed for non-commercial use only

Allele frequency analysis completed 11/21/2016 11:36:15 AM


**** Summary statistics ****


Locus       k    N        HObs   HExp   PIC    NE-1P  NE-2P  NE-PP  NE-I   NE-SI
dDocent_Contig_107_30    2     1932  0.494  0.489  0.370  0.880  0.815  0.722  0.381  0.601
dDocent_Contig_223_125    2     1913  0.444  0.495  0.372  0.878  0.814  0.720  0.378  0.597
dDocent_Contig_281_52    2     1933  0.508  0.498  0.374  0.876  0.813  0.720  0.376  0.595
dDocent_Contig_300_134    2     1904  0.463  0.498  0.374  0.876  0.813  0.720  0.376  0.595
dDocent_Contig_308_42    2     1923  0.474  0.492  0.371  0.879  0.815  0.721  0.379  0.599
dDocent_Contig_674_43    2     1927  0.447  0.485  0.367  0.883  0.816  0.724  0.383  0.604
dDocent_Contig_724_114    2     1888  0.474  0.487  0.369  0.881  0.816  0.723  0.382  0.602
dDocent_Contig_784_30    2     1914  0.463  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_807_110    2     1935  0.479  0.492  0.371  0.879  0.815  0.721  0.379  0.599
dDocent_Contig_969_24    2     1933  0.466  0.490  0.370  0.880  0.815  0.722  0.380  0.600
dDocent_Contig_1027_63    2     1930  0.466  0.483  0.366  0.883  0.817  0.724  0.384  0.604
dDocent_Contig_1113_70    2     1927  0.465  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_1118_45    2     1929  0.469  0.486  0.368  0.882  0.816  0.723  0.382  0.602
dDocent_Contig_1152_37    2     1930  0.474  0.483  0.366  0.883  0.817  0.724  0.384  0.604
dDocent_Contig_1194_89    2     1931  0.500  0.497  0.373  0.877  0.813  0.720  0.377  0.596
dDocent_Contig_1491_64    2     1916  0.481  0.483  0.366  0.883  0.817  0.724  0.384  0.604
dDocent_Contig_1491_94    2     1916  0.462  0.497  0.374  0.876  0.813  0.720  0.376  0.595
dDocent_Contig_1583_70    2     1912  0.440  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_1675_35    2     1934  0.498  0.499  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_1777_104    2     1918  0.467  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_1777_116    2     1918  0.467  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_1777_143    2     1916  0.460  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_1841_7    2     1924  0.515  0.498  0.374  0.876  0.813  0.720  0.376  0.595
dDocent_Contig_1841_46    2     1924  0.501  0.499  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_1979_32    2     1917  0.469  0.491  0.371  0.879  0.815  0.721  0.379  0.599
dDocent_Contig_1979_123    2     1918  0.474  0.496  0.373  0.877  0.814  0.720  0.377  0.597
dDocent_Contig_1998_62    2     1920  0.471  0.486  0.368  0.882  0.816  0.723  0.382  0.603
dDocent_Contig_2048_116    2     1927  0.495  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_2120_51    2     1927  0.492  0.492  0.371  0.879  0.814  0.721  0.379  0.599
dDocent_Contig_2120_81    2     1927  0.491  0.482  0.366  0.884  0.817  0.724  0.384  0.605
dDocent_Contig_2120_113    2     1927  0.487  0.481  0.365  0.884  0.817  0.725  0.385  0.606
dDocent_Contig_2121_53    2     1936  0.487  0.490  0.370  0.880  0.815  0.722  0.380  0.600
dDocent_Contig_2196_92    2     1940  0.499  0.493  0.371  0.879  0.814  0.721  0.379  0.598
dDocent_Contig_2202_49    2     1909  0.464  0.495  0.373  0.877  0.814  0.720  0.377  0.597
dDocent_Contig_2397_79    2     1930  0.494  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_2432_136    2     1907  0.445  0.487  0.368  0.881  0.816  0.723  0.382  0.602
dDocent_Contig_2682_72    2     1930  0.480  0.493  0.372  0.878  0.814  0.721  0.379  0.598
dDocent_Contig_2832_124    2     1924  0.504  0.497  0.373  0.877  0.813  0.720  0.377  0.596
dDocent_Contig_2863_61    2     1943  0.482  0.498  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_2914_36    2     1918  0.462  0.489  0.370  0.880  0.815  0.722  0.381  0.601
dDocent_Contig_2914_65    2     1918  0.448  0.484  0.367  0.883  0.817  0.724  0.384  0.604
dDocent_Contig_2915_110    2     1921  0.479  0.490  0.370  0.880  0.815  0.722  0.380  0.600
dDocent_Contig_3300_90    2     1935  0.472  0.489  0.369  0.881  0.815  0.722  0.381  0.601
dDocent_Contig_3383_30    2     1931  0.465  0.483  0.366  0.883  0.817  0.724  0.384  0.605
dDocent_Contig_3492_32    2     1922  0.456  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_3493_53    2     1921  0.455  0.487  0.369  0.881  0.816  0.723  0.382  0.602
dDocent_Contig_3525_64    2     1938  0.486  0.485  0.367  0.883  0.816  0.724  0.383  0.604
dDocent_Contig_3563_109    2     1914  0.441  0.484  0.367  0.883  0.816  0.724  0.383  0.604
dDocent_Contig_3658_133    2     1927  0.461  0.491  0.370  0.880  0.815  0.722  0.380  0.600
dDocent_Contig_3794_86    2     1909  0.476  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_3914_49    2     1915  0.453  0.499  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_4000_96    2     1935  0.479  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_4077_10    2     1930  0.482  0.494  0.372  0.878  0.814  0.721  0.378  0.597
dDocent_Contig_4077_89    2     1930  0.478  0.492  0.371  0.879  0.814  0.721  0.379  0.599
dDocent_Contig_4151_132    2     1916  0.456  0.484  0.367  0.883  0.817  0.724  0.384  0.604
dDocent_Contig_4311_57    2     1927  0.491  0.493  0.372  0.878  0.814  0.721  0.379  0.598
dDocent_Contig_4648_8    2     1918  0.480  0.496  0.373  0.877  0.814  0.720  0.377  0.597
dDocent_Contig_4673_110    2     1931  0.479  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_4673_134    2     1930  0.452  0.483  0.366  0.883  0.817  0.724  0.384  0.605
dDocent_Contig_4786_15    2     1920  0.450  0.487  0.368  0.882  0.816  0.723  0.382  0.602
dDocent_Contig_4786_54    2     1920  0.482  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_4871_106    2     1937  0.474  0.490  0.370  0.880  0.815  0.722  0.380  0.600
dDocent_Contig_5046_27    2     1925  0.471  0.485  0.368  0.882  0.816  0.723  0.383  0.603
dDocent_Contig_5050_82    2     1921  0.480  0.498  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_5079_21    2     1921  0.475  0.489  0.369  0.881  0.815  0.722  0.381  0.601
dDocent_Contig_5086_38    2     1922  0.459  0.500  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_5086_72    2     1922  0.460  0.495  0.373  0.877  0.814  0.720  0.377  0.597
dDocent_Contig_5086_97    2     1921  0.456  0.488  0.369  0.881  0.815  0.722  0.381  0.601
dDocent_Contig_5127_68    2     1922  0.502  0.499  0.375  0.875  0.813  0.719  0.375  0.594
dDocent_Contig_5195_52    2     1913  0.492  0.495  0.372  0.877  0.814  0.720  0.378  0.597
dDocent_Contig_5429_21    2     1914  0.471  0.492  0.371  0.879  0.815  0.721  0.379  0.599
dDocent_Contig_5463_72    2     1931  0.458  0.489  0.370  0.880  0.815  0.722  0.381  0.601
dDocent_Contig_5463_134    2     1930  0.459  0.489  0.369  0.880  0.815  0.722  0.381  0.601
dDocent_Contig_5490_61    2     1919  0.477  0.495  0.372  0.878  0.814  0.720  0.378  0.597
dDocent_Contig_5715_80    2     1940  0.505  0.498  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_5991_124    2     1924  0.497  0.498  0.374  0.876  0.813  0.719  0.376  0.595
dDocent_Contig_6010_47    2     1919  0.458  0.492  0.371  0.879  0.814  0.721  0.379  0.599
dDocent_Contig_6010_134    2     1919  0.445  0.486  0.368  0.882  0.816  0.723  0.382  0.603
dDocent_Contig_6012_17    2     1912  0.468  0.499  0.375  0.875  0.813  0.719  0.375  0.594
