Cervus 3.0.7 - (c) Copyright Tristan Marshall 1998-2014
Distributed by Field Genetics Ltd - www.fieldgenetics.com
Licensed for non-commercial use only

Allele frequency analysis completed 1/25/2016 12:04:50 PM


**** Summary statistics ****


Locus       k    N        HObs   HExp   PIC    NE-1P  NE-2P  NE-PP  NE-I   NE-SI  HW   F(Null)
dDocent_Contig_1_45    2      954  0.291  0.281  0.241  0.961  0.879  0.801  0.557  0.749   NS  -0.0190
dDocent_Contig_1_148    2      954  0.274  0.273  0.236  0.963  0.882  0.805  0.566  0.755   NS  -0.0013
dDocent_Contig_21_37    2      944  0.307  0.305  0.258  0.954  0.871  0.790  0.530  0.730   NS  -0.0041
dDocent_Contig_21_78    2      944  0.178  0.178  0.162  0.984  0.919  0.858  0.692  0.834   NS  -0.0010
dDocent_Contig_21_144    2      944  0.529  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0282
dDocent_Contig_85_57    2      942  0.246  0.238  0.210  0.972  0.895  0.823  0.609  0.783   NS  -0.0173
dDocent_Contig_85_65    2      942  0.248  0.238  0.210  0.972  0.895  0.823  0.609  0.783   NS  -0.0216
dDocent_Contig_85_172    2      942  0.529  0.498  0.374  0.876  0.813  0.720  0.376  0.595   NS  -0.0306
dDocent_Contig_107_30    2      944  0.500  0.487  0.368  0.882  0.816  0.723  0.382  0.602   NS  -0.0138
dDocent_Contig_107_48    2      944  0.418  0.420  0.332  0.912  0.834  0.745  0.424  0.646   NS   0.0022
dDocent_Contig_107_80    2      944  0.107  0.113  0.106  0.994  0.947  0.902  0.794  0.892   ND   0.0253
dDocent_Contig_276_132    2      959  0.186  0.190  0.172  0.982  0.914  0.850  0.674  0.823   NS   0.0119
dDocent_Contig_276_157    2      959  0.414  0.422  0.333  0.911  0.834  0.744  0.423  0.645   NS   0.0090
dDocent_Contig_389_155    2      952  0.147  0.149  0.138  0.989  0.931  0.876  0.736  0.860   NS   0.0055
dDocent_Contig_398_12    2      948  0.489  0.493  0.371  0.879  0.814  0.721  0.379  0.598   NS   0.0031
dDocent_Contig_398_14    2      948  0.472  0.475  0.362  0.888  0.819  0.727  0.389  0.610   NS   0.0029
dDocent_Contig_435_196    2      976  0.305  0.277  0.239  0.962  0.881  0.803  0.561  0.752   NS  -0.0489
dDocent_Contig_435_199    2      976  0.642  0.455  0.351  0.897  0.824  0.733  0.401  0.623  ***  -0.1715
dDocent_Contig_435_200    3      976  0.760  0.544  0.458  0.852  0.737  0.604  0.294  0.552  ***  -0.1795
dDocent_Contig_486_21    2      972  0.127  0.119  0.112  0.993  0.944  0.898  0.784  0.887   ND  -0.0238
dDocent_Contig_537_31    2      960  0.147  0.143  0.133  0.990  0.934  0.880  0.744  0.865   NS  -0.0128
dDocent_Contig_601_37    2      945  0.113  0.120  0.113  0.993  0.944  0.897  0.782  0.886   ND   0.0284
dDocent_Contig_601_60    2      945  0.098  0.097  0.093  0.995  0.954  0.914  0.819  0.906   ND  -0.0053
dDocent_Contig_601_118    2      945  0.176  0.179  0.163  0.984  0.918  0.857  0.690  0.833   NS   0.0098
dDocent_Contig_601_182    2      944  0.525  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0253
dDocent_Contig_631_33    2      944  0.376  0.374  0.304  0.930  0.848  0.762  0.462  0.679   NS  -0.0035
dDocent_Contig_631_197    2      941  0.200  0.197  0.177  0.981  0.911  0.846  0.665  0.818   NS  -0.0080
dDocent_Contig_832_9    2      957  0.303  0.288  0.247  0.958  0.877  0.798  0.548  0.743   NS  -0.0252
dDocent_Contig_832_20    2      957  0.106  0.102  0.097  0.995  0.952  0.910  0.812  0.902   ND  -0.0178
dDocent_Contig_832_109    2      957  0.132  0.134  0.125  0.991  0.938  0.887  0.759  0.873   ND   0.0081
dDocent_Contig_832_177    2      957  0.129  0.129  0.121  0.992  0.940  0.890  0.766  0.877   ND   0.0031
dDocent_Contig_848_63    2      949  0.155  0.150  0.139  0.989  0.931  0.876  0.734  0.858   NS  -0.0161
dDocent_Contig_848_64    2      949  0.336  0.326  0.273  0.947  0.864  0.781  0.508  0.714   NS  -0.0155
dDocent_Contig_889_111    2      945  0.344  0.338  0.281  0.943  0.860  0.776  0.495  0.705   NS  -0.0088
dDocent_Contig_969_24    2      950  0.488  0.494  0.372  0.878  0.814  0.721  0.378  0.598   NS   0.0052
dDocent_Contig_969_96    2      950  0.453  0.420  0.332  0.912  0.834  0.745  0.425  0.646   NS  -0.0374
dDocent_Contig_969_110    2      950  0.434  0.424  0.334  0.910  0.833  0.744  0.422  0.644   NS  -0.0121
dDocent_Contig_969_115    2      950  0.324  0.321  0.270  0.948  0.865  0.783  0.512  0.717   NS  -0.0046
dDocent_Contig_969_147    2      950  0.413  0.401  0.320  0.920  0.840  0.752  0.440  0.660   NS  -0.0150
dDocent_Contig_969_163    2      950  0.196  0.206  0.185  0.979  0.907  0.840  0.651  0.810   NS   0.0263
dDocent_Contig_1044_12    2      947  0.442  0.426  0.335  0.910  0.833  0.743  0.421  0.643   NS  -0.0197
dDocent_Contig_1044_45    2      947  0.138  0.136  0.127  0.991  0.937  0.885  0.756  0.871   NS  -0.0085
dDocent_Contig_1044_129    2      947  0.205  0.197  0.178  0.981  0.911  0.846  0.664  0.817   NS  -0.0191
dDocent_Contig_1044_163    2      947  0.297  0.297  0.253  0.956  0.874  0.794  0.539  0.736   NS  -0.0002
dDocent_Contig_1117_16    2      941  0.156  0.155  0.143  0.988  0.929  0.872  0.727  0.854   NS  -0.0049
dDocent_Contig_1117_169    2      941  0.107  0.111  0.105  0.994  0.948  0.903  0.796  0.894   ND   0.0168
dDocent_Contig_1119_41    2      941  0.155  0.159  0.146  0.987  0.927  0.870  0.720  0.850   NS   0.0125
dDocent_Contig_1119_93    2      941  0.176  0.180  0.164  0.984  0.918  0.856  0.689  0.832   NS   0.0096
dDocent_Contig_1262_100    2      945  0.181  0.187  0.169  0.983  0.915  0.852  0.679  0.826   NS   0.0157
dDocent_Contig_1269_45    2      938  0.240  0.428  0.336  0.909  0.832  0.742  0.419  0.641  ***   0.2812
dDocent_Contig_1330_80    2      946  0.262  0.257  0.224  0.967  0.888  0.813  0.586  0.768   NS  -0.0107
dDocent_Contig_1330_85    2      946  0.267  0.259  0.225  0.967  0.887  0.812  0.583  0.766   NS  -0.0164
dDocent_Contig_1330_91    2      946  0.175  0.181  0.164  0.984  0.918  0.856  0.688  0.832   NS   0.0146
dDocent_Contig_1330_95    2      946  0.196  0.200  0.180  0.980  0.910  0.844  0.660  0.815   NS   0.0107
dDocent_Contig_1330_121    2      946  0.184  0.199  0.179  0.980  0.910  0.845  0.661  0.816   NS   0.0393
dDocent_Contig_1330_123    2      946  0.198  0.190  0.172  0.982  0.914  0.850  0.674  0.824   NS  -0.0201
dDocent_Contig_1330_143    2      946  0.381  0.373  0.303  0.931  0.848  0.762  0.463  0.680   NS  -0.0109
dDocent_Contig_1330_176    2      946  0.494  0.488  0.369  0.881  0.816  0.723  0.381  0.601   NS  -0.0058
dDocent_Contig_1370_131    2      962  0.367  0.378  0.307  0.929  0.847  0.760  0.458  0.676   NS   0.0150
dDocent_Contig_1370_139    2      962  0.189  0.190  0.172  0.982  0.914  0.850  0.675  0.824   NS   0.0010
