Cervus 3.0.7 - (c) Copyright Tristan Marshall 1998-2014
Distributed by Field Genetics Ltd - www.fieldgenetics.com
Licensed for non-commercial use only

Allele frequency analysis completed 1/4/2016 11:51:54 AM


**** Summary statistics ****


Locus       k    N        HObs   HExp   PIC    NE-1P  NE-2P  NE-PP  NE-I   NE-SI  HW   F(Null)
dDocent_Contig_1_45    2      956  0.291  0.280  0.241  0.961  0.880  0.801  0.557  0.749   NS  -0.0187
dDocent_Contig_1_148    2      956  0.273  0.273  0.235  0.963  0.882  0.805  0.567  0.755   NS  -0.0011
dDocent_Contig_21_37    2      945  0.307  0.305  0.258  0.954  0.871  0.790  0.530  0.730   NS  -0.0040
dDocent_Contig_21_78    2      945  0.178  0.179  0.163  0.984  0.918  0.857  0.690  0.833   NS   0.0039
dDocent_Contig_21_144    2      945  0.528  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0277
dDocent_Contig_85_57    2      944  0.246  0.241  0.212  0.971  0.894  0.821  0.606  0.781   NS  -0.0107
dDocent_Contig_85_65    2      944  0.248  0.238  0.209  0.972  0.895  0.823  0.610  0.784   NS  -0.0214
dDocent_Contig_85_172    2      944  0.528  0.497  0.374  0.876  0.813  0.720  0.376  0.596   NS  -0.0297
dDocent_Contig_107_30    2      945  0.499  0.487  0.368  0.882  0.816  0.723  0.382  0.602   NS  -0.0131
dDocent_Contig_107_48    2      945  0.418  0.420  0.332  0.912  0.834  0.745  0.425  0.646   NS   0.0024
dDocent_Contig_107_80    2      945  0.107  0.112  0.106  0.994  0.947  0.902  0.794  0.892   ND   0.0253
dDocent_Contig_276_132    2      962  0.185  0.190  0.172  0.982  0.914  0.850  0.675  0.824   NS   0.0121
dDocent_Contig_276_157    2      962  0.413  0.423  0.334  0.910  0.833  0.744  0.422  0.644   NS   0.0126
dDocent_Contig_389_155    2      955  0.147  0.148  0.137  0.989  0.931  0.877  0.736  0.860   NS   0.0056
dDocent_Contig_398_12    2      949  0.489  0.493  0.371  0.879  0.814  0.721  0.379  0.599   NS   0.0035
dDocent_Contig_398_14    2      949  0.471  0.474  0.362  0.888  0.819  0.727  0.389  0.610   NS   0.0033
dDocent_Contig_435_196    2      979  0.307  0.278  0.240  0.961  0.880  0.802  0.560  0.751   NS  -0.0499
dDocent_Contig_435_199    2      979  0.640  0.454  0.351  0.897  0.825  0.734  0.401  0.624  ***  -0.1707
dDocent_Contig_435_200    3      979  0.758  0.543  0.458  0.853  0.737  0.604  0.294  0.552  ***  -0.1786
dDocent_Contig_486_21    2      975  0.126  0.118  0.111  0.993  0.944  0.898  0.785  0.887   ND  -0.0237
dDocent_Contig_537_31    2      962  0.147  0.143  0.133  0.990  0.934  0.880  0.745  0.865   NS  -0.0127
dDocent_Contig_601_37    2      947  0.113  0.120  0.112  0.993  0.944  0.897  0.782  0.886   ND   0.0285
dDocent_Contig_601_60    2      947  0.098  0.097  0.092  0.995  0.954  0.914  0.820  0.906   ND  -0.0052
