Cervus 3.0.7 - (c) Copyright Tristan Marshall 1998-2014
Distributed by Field Genetics Ltd - www.fieldgenetics.com
Licensed for non-commercial use only

Allele frequency analysis completed 9/8/2016 11:50:31 AM


**** Summary statistics ****


Locus       k    N        HObs   HExp   PIC    NE-1P  NE-2P  NE-PP  NE-I   NE-SI  HW   F(Null)
dDocent_Contig_107_30    2     1464  0.489  0.489  0.369  0.880  0.815  0.722  0.381  0.601   NS   0.0000
dDocent_Contig_223_125    2     1436  0.458  0.494  0.372  0.878  0.814  0.721  0.378  0.598   NS   0.0374
dDocent_Contig_281_52    2     1440  0.528  0.497  0.373  0.877  0.813  0.720  0.377  0.596   NS  -0.0312
dDocent_Contig_300_134    2     1446  0.482  0.497  0.373  0.877  0.813  0.720  0.377  0.596   NS   0.0150
dDocent_Contig_308_42    2     1441  0.486  0.492  0.371  0.879  0.815  0.721  0.379  0.599   NS   0.0063
dDocent_Contig_674_43    2     1445  0.482  0.484  0.367  0.883  0.817  0.724  0.383  0.604   NS   0.0018
dDocent_Contig_724_114    2     1443  0.492  0.489  0.370  0.880  0.815  0.722  0.381  0.600   NS  -0.0028
dDocent_Contig_784_30    2     1440  0.491  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0087
dDocent_Contig_807_110    2     1434  0.512  0.494  0.372  0.878  0.814  0.721  0.378  0.597   NS  -0.0177
dDocent_Contig_969_24    2     1459  0.485  0.488  0.369  0.881  0.816  0.723  0.381  0.602   NS   0.0031
dDocent_Contig_1027_63    2     1455  0.493  0.485  0.367  0.883  0.816  0.724  0.383  0.604   NS  -0.0093
dDocent_Contig_1113_70    2     1427  0.492  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0075
dDocent_Contig_1118_45    2     1447  0.493  0.487  0.368  0.882  0.816  0.723  0.382  0.602   NS  -0.0062
dDocent_Contig_1152_37    2     1439  0.496  0.482  0.366  0.884  0.817  0.725  0.385  0.605   NS  -0.0148
dDocent_Contig_1194_89    2     1453  0.528  0.499  0.374  0.876  0.813  0.719  0.376  0.595   NS  -0.0286
dDocent_Contig_1491_64    2     1437  0.509  0.485  0.367  0.883  0.816  0.724  0.383  0.604   NS  -0.0245
dDocent_Contig_1491_94    2     1437  0.487  0.498  0.374  0.876  0.813  0.720  0.376  0.595   NS   0.0105
dDocent_Contig_1583_70    2     1450  0.464  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0371
dDocent_Contig_1675_35    2     1451  0.509  0.497  0.373  0.877  0.813  0.720  0.377  0.596   NS  -0.0120
dDocent_Contig_1777_104    2     1470  0.485  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0150
dDocent_Contig_1777_116    2     1470  0.484  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0164
dDocent_Contig_1777_143    2     1457  0.480  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0198
dDocent_Contig_1841_7    2     1441  0.516  0.498  0.374  0.876  0.813  0.719  0.376  0.595   NS  -0.0174
dDocent_Contig_1841_46    2     1441  0.507  0.499  0.374  0.876  0.813  0.719  0.376  0.594   NS  -0.0083
dDocent_Contig_1979_32    2     1423  0.482  0.492  0.371  0.879  0.815  0.721  0.379  0.599   NS   0.0095
dDocent_Contig_1979_123    2     1423  0.499  0.497  0.373  0.877  0.813  0.720  0.377  0.596   NS  -0.0026
dDocent_Contig_1998_62    2     1419  0.488  0.483  0.366  0.884  0.817  0.724  0.384  0.605   NS  -0.0058
dDocent_Contig_2048_116    2     1447  0.487  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0129
dDocent_Contig_2120_51    2     1462  0.517  0.491  0.370  0.879  0.815  0.722  0.380  0.599   NS  -0.0259
dDocent_Contig_2120_81    2     1462  0.511  0.482  0.366  0.884  0.817  0.725  0.385  0.605   NS  -0.0296
dDocent_Contig_2120_113    2     1462  0.508  0.481  0.365  0.884  0.817  0.725  0.385  0.606   NS  -0.0267
dDocent_Contig_2121_53    2     1447  0.491  0.490  0.370  0.880  0.815  0.722  0.380  0.600   NS  -0.0009
dDocent_Contig_2196_92    2     1473  0.516  0.494  0.372  0.878  0.814  0.721  0.378  0.598   NS  -0.0220
dDocent_Contig_2202_49    2     1452  0.493  0.495  0.373  0.877  0.814  0.720  0.377  0.597   NS   0.0020
dDocent_Contig_2397_79    2     1416  0.528  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0268
dDocent_Contig_2432_136    2     1456  0.469  0.486  0.368  0.882  0.816  0.723  0.382  0.603   NS   0.0175
