Cervus 3.0.7 - (c) Copyright Tristan Marshall 1998-2014
Distributed by Field Genetics Ltd - www.fieldgenetics.com
Licensed for non-commercial use only

Allele frequency analysis completed 5/1/2016 12:48:03 PM


**** Summary statistics ****


Locus       k    N        HObs   HExp   PIC    NE-1P  NE-2P  NE-PP  NE-I   NE-SI  HW   F(Null)
dDocent_Contig_21_144    2      846  0.526  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0257
dDocent_Contig_85_172    2      842  0.525  0.497  0.373  0.877  0.813  0.720  0.377  0.596   NS  -0.0276
dDocent_Contig_107_30    2      844  0.495  0.487  0.368  0.882  0.816  0.723  0.382  0.602   NS  -0.0088
dDocent_Contig_107_48    2      844  0.417  0.418  0.331  0.913  0.835  0.746  0.426  0.648   NS   0.0010
dDocent_Contig_276_157    2      862  0.411  0.421  0.332  0.912  0.834  0.745  0.424  0.646   NS   0.0117
dDocent_Contig_398_12    2      854  0.482  0.492  0.371  0.879  0.815  0.721  0.379  0.599   NS   0.0092
dDocent_Contig_398_14    2      854  0.471  0.475  0.362  0.887  0.819  0.727  0.389  0.610   NS   0.0042
dDocent_Contig_435_199    2      876  0.642  0.451  0.349  0.898  0.825  0.734  0.403  0.625  ***  -0.1743
dDocent_Contig_601_182    2      845  0.529  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0285
dDocent_Contig_631_33    2      846  0.375  0.369  0.301  0.932  0.850  0.764  0.466  0.682   NS  -0.0076
dDocent_Contig_848_64    2      855  0.346  0.333  0.277  0.945  0.861  0.778  0.501  0.709   NS  -0.0203
dDocent_Contig_889_111    2      848  0.335  0.333  0.278  0.945  0.861  0.778  0.500  0.709   NS  -0.0028
dDocent_Contig_969_24    2      852  0.496  0.494  0.372  0.878  0.814  0.721  0.378  0.598   NS  -0.0033
dDocent_Contig_969_96    2      852  0.447  0.409  0.326  0.916  0.837  0.749  0.433  0.654   NS  -0.0443
dDocent_Contig_969_110    2      852  0.433  0.426  0.335  0.909  0.833  0.743  0.421  0.642   NS  -0.0089
dDocent_Contig_969_115    2      852  0.333  0.331  0.276  0.945  0.862  0.779  0.503  0.710   NS  -0.0042
dDocent_Contig_969_147    2      852  0.405  0.392  0.315  0.923  0.843  0.755  0.447  0.666   NS  -0.0169
dDocent_Contig_1044_12    2      852  0.444  0.424  0.334  0.910  0.833  0.744  0.422  0.643   NS  -0.0226
dDocent_Contig_1269_45    2      852  0.237  0.429  0.337  0.908  0.832  0.742  0.418  0.640  ***   0.2877
dDocent_Contig_1330_143    2      851  0.378  0.372  0.303  0.931  0.849  0.762  0.464  0.680   NS  -0.0088
dDocent_Contig_1330_176    2      851  0.501  0.490  0.370  0.880  0.815  0.722  0.380  0.600   NS  -0.0108
dDocent_Contig_1370_131    2      866  0.374  0.381  0.309  0.927  0.846  0.759  0.456  0.673   NS   0.0094
dDocent_Contig_1370_200    2      865  0.377  0.363  0.297  0.934  0.851  0.766  0.472  0.687   NS  -0.0189
dDocent_Contig_1370_204    2      865  0.491  0.449  0.348  0.899  0.826  0.735  0.405  0.627   NS  -0.0457
dDocent_Contig_1675_35    2      853  0.517  0.498  0.374  0.876  0.813  0.719  0.376  0.595   NS  -0.0190
dDocent_Contig_1723_192    2      848  0.461  0.355  0.292  0.937  0.854  0.769  0.479  0.692  ***  -0.1295
dDocent_Contig_1772_93    2      851  0.396  0.378  0.307  0.928  0.847  0.760  0.458  0.675   NS  -0.0230
dDocent_Contig_1797_112    2      848  0.333  0.345  0.286  0.940  0.857  0.773  0.488  0.700   NS   0.0185
dDocent_Contig_1797_195    2      847  0.484  0.470  0.360  0.889  0.820  0.728  0.391  0.613   NS  -0.0146
dDocent_Contig_1852_116    2      866  0.395  0.394  0.316  0.923  0.842  0.754  0.445  0.665   NS  -0.0020
dDocent_Contig_1915_78    2      858  0.449  0.434  0.340  0.906  0.830  0.740  0.415  0.637   NS  -0.0173
dDocent_Contig_1915_141    2      858  0.372  0.340  0.282  0.942  0.859  0.775  0.493  0.703   NS  -0.0443
dDocent_Contig_1986_189    2      853  0.355  0.347  0.287  0.940  0.857  0.772  0.487  0.698   NS  -0.0118
dDocent_Contig_1986_196    2      853  0.419  0.430  0.337  0.908  0.831  0.742  0.418  0.640   NS   0.0131
dDocent_Contig_1986_198    2      852  0.356  0.347  0.287  0.940  0.857  0.772  0.486  0.698   NS  -0.0120
dDocent_Contig_2121_53    2      850  0.518  0.490  0.370  0.880  0.815  0.722  0.380  0.600   NS  -0.0277
dDocent_Contig_2121_79    2      850  0.486  0.479  0.364  0.886  0.818  0.726  0.387  0.607   NS  -0.0078
dDocent_Contig_2143_16    2      841  0.439  0.419  0.331  0.912  0.834  0.745  0.425  0.647   NS  -0.0228
dDocent_Contig_2143_31    2      841  0.424  0.396  0.317  0.922  0.841  0.754  0.443  0.663   NS  -0.0350
dDocent_Contig_2143_151    2      841  0.485  0.475  0.362  0.887  0.819  0.727  0.389  0.610   NS  -0.0108
dDocent_Contig_2155_140    2      860  0.473  0.460  0.354  0.894  0.823  0.732  0.398  0.620   NS  -0.0148
dDocent_Contig_2155_176    2      860  0.490  0.467  0.358  0.891  0.821  0.729  0.393  0.615   NS  -0.0236
dDocent_Contig_2196_68    2      858  0.436  0.432  0.338  0.907  0.831  0.741  0.416  0.638   NS  -0.0053
dDocent_Contig_2196_92    2      858  0.522  0.495  0.372  0.878  0.814  0.721  0.378  0.597   NS  -0.0274
dDocent_Contig_2445_12    2      852  0.408  0.413  0.328  0.915  0.836  0.747  0.430  0.651   NS   0.0052
dDocent_Contig_2445_162    2      852  0.380  0.402  0.321  0.919  0.840  0.751  0.439  0.659   NS   0.0272
dDocent_Contig_2445_167    2      852  0.380  0.402  0.321  0.919  0.840  0.751  0.439  0.659   NS   0.0272
dDocent_Contig_2551_29    2      849  0.443  0.435  0.340  0.906  0.830  0.740  0.414  0.636   NS  -0.0094
dDocent_Contig_2551_121    2      849  0.443  0.431  0.338  0.907  0.831  0.741  0.417  0.639   NS  -0.0144
dDocent_Contig_2652_18    2      847  0.455  0.438  0.342  0.904  0.829  0.739  0.412  0.634   NS  -0.0194
dDocent_Contig_2888_146    2      849  0.539  0.404  0.322  0.919  0.839  0.751  0.437  0.658  ***  -0.1442
dDocent_Contig_2888_176    2      851  0.349  0.329  0.275  0.946  0.863  0.780  0.505  0.712   NS  -0.0298
dDocent_Contig_2888_185    2      851  0.518  0.497  0.373  0.877  0.813  0.720  0.377  0.596   NS  -0.0217
dDocent_Contig_2968_191    2      846  0.365  0.376  0.305  0.929  0.847  0.761  0.460  0.677   NS   0.0147
dDocent_Contig_2993_162    2      858  0.438  0.424  0.334  0.910  0.833  0.744  0.422  0.644   NS  -0.0173
dDocent_Contig_2999_156    2      848  0.329  0.331  0.276  0.945  0.862  0.779  0.502  0.710   NS   0.0030
dDocent_Contig_3087_76    2      863  0.409  0.401  0.321  0.920  0.840  0.752  0.439  0.659   NS  -0.0099
dDocent_Contig_3087_159    2      863  0.295  0.443  0.345  0.902  0.828  0.737  0.409  0.631  ***   0.1995
dDocent_Contig_3129_67    2      847  0.385  0.390  0.314  0.924  0.843  0.756  0.448  0.667   NS   0.0068
dDocent_Contig_3129_119    2      847  0.320  0.330  0.275  0.946  0.862  0.779  0.503  0.711   NS   0.0153
dDocent_Contig_3206_188    2      868  0.442  0.457  0.353  0.895  0.824  0.732  0.399  0.621   NS   0.0164
dDocent_Contig_3300_90    2      860  0.492  0.491  0.370  0.880  0.815  0.722  0.380  0.600   NS  -0.0011
dDocent_Contig_3454_67    2      845  0.469  0.458  0.353  0.895  0.824  0.732  0.399  0.621   NS  -0.0123
dDocent_Contig_3513_45    2      849  0.484  0.479  0.364  0.886  0.818  0.726  0.386  0.607   NS  -0.0058
dDocent_Contig_3513_144    2      849  0.379  0.392  0.315  0.923  0.842  0.755  0.447  0.666   NS   0.0162
dDocent_Contig_3513_175    2      849  0.366  0.367  0.300  0.933  0.850  0.764  0.468  0.684   NS   0.0008
dDocent_Contig_3525_64    2      870  0.506  0.483  0.366  0.884  0.817  0.724  0.384  0.605   NS  -0.0238
dDocent_Contig_3578_40    2      856  0.425  0.424  0.334  0.910  0.833  0.744  0.422  0.643   NS  -0.0016
dDocent_Contig_3578_100    2      856  0.431  0.419  0.331  0.912  0.834  0.745  0.426  0.647   NS  -0.0145
dDocent_Contig_3714_160    2      851  0.539  0.498  0.374  0.876  0.813  0.720  0.376  0.595   NS  -0.0405
dDocent_Contig_3714_180    2      851  0.496  0.465  0.357  0.892  0.822  0.730  0.395  0.616   NS  -0.0328
dDocent_Contig_3777_73    2      857  0.490  0.472  0.360  0.889  0.820  0.728  0.391  0.612   NS  -0.0194
dDocent_Contig_3777_131    2      857  0.463  0.432  0.339  0.907  0.831  0.741  0.416  0.638   NS  -0.0349
dDocent_Contig_3873_170    2      849  0.497  0.483  0.366  0.883  0.817  0.724  0.384  0.605   NS  -0.0144
dDocent_Contig_4000_21    2      865  0.385  0.408  0.324  0.917  0.838  0.749  0.434  0.655   NS   0.0285
dDocent_Contig_4000_67    2      865  0.473  0.465  0.357  0.892  0.822  0.730  0.395  0.616   NS  -0.0087
dDocent_Contig_4000_96    2      865  0.498  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0015
dDocent_Contig_4092_155    2      856  0.360  0.400  0.320  0.920  0.840  0.752  0.440  0.660   NS   0.0521
dDocent_Contig_4186_181    2      849  0.375  0.359  0.294  0.936  0.853  0.767  0.475  0.689   NS  -0.0213
dDocent_Contig_4224_100    2      856  0.391  0.373  0.304  0.930  0.848  0.762  0.462  0.679   NS  -0.0237
dDocent_Contig_4224_158    2      856  0.446  0.434  0.340  0.906  0.830  0.740  0.415  0.637   NS  -0.0144
dDocent_Contig_4242_47    2      859  0.441  0.466  0.357  0.891  0.821  0.730  0.394  0.615   NS   0.0273
dDocent_Contig_4242_104    2      859  0.367  0.363  0.297  0.934  0.852  0.766  0.472  0.687   NS  -0.0054
dDocent_Contig_4453_28    2      860  0.444  0.495  0.372  0.878  0.814  0.721  0.378  0.597   NS   0.0534
dDocent_Contig_4453_92    2      860  0.312  0.342  0.283  0.942  0.858  0.774  0.492  0.702   NS   0.0459
dDocent_Contig_4460_32    2      847  0.431  0.425  0.335  0.910  0.833  0.743  0.421  0.643   NS  -0.0069
dDocent_Contig_4543_109    2      854  0.333  0.344  0.284  0.941  0.858  0.774  0.490  0.701   NS   0.0160
dDocent_Contig_4543_203    2      853  0.413  0.412  0.327  0.915  0.837  0.748  0.431  0.652   NS  -0.0015
dDocent_Contig_4769_164    2      860  0.710  0.481  0.365  0.884  0.817  0.725  0.385  0.606  ***  -0.1924
dDocent_Contig_4772_30    2      852  0.386  0.386  0.311  0.926  0.844  0.757  0.452  0.670   NS  -0.0003
dDocent_Contig_4772_104    2      852  0.309  0.334  0.278  0.944  0.861  0.778  0.499  0.708   NS   0.0393
dDocent_Contig_4825_162    2      872  0.502  0.459  0.353  0.895  0.823  0.732  0.398  0.621   NS  -0.0459
dDocent_Contig_4871_75    2      850  0.485  0.469  0.359  0.890  0.821  0.729  0.392  0.614   NS  -0.0172
dDocent_Contig_4871_81    2      850  0.348  0.337  0.280  0.943  0.860  0.776  0.497  0.706   NS  -0.0171
dDocent_Contig_4871_106    2      850  0.494  0.487  0.369  0.881  0.816  0.723  0.382  0.602   NS  -0.0070
dDocent_Contig_4871_174    2      850  0.495  0.494  0.372  0.878  0.814  0.721  0.378  0.598   NS  -0.0021
dDocent_Contig_4894_13    2      854  0.395  0.378  0.306  0.929  0.847  0.760  0.459  0.676   NS  -0.0224
dDocent_Contig_4894_40    2      854  0.457  0.459  0.354  0.895  0.823  0.732  0.398  0.620   NS   0.0027
dDocent_Contig_4921_106    2      850  0.452  0.440  0.343  0.903  0.828  0.738  0.410  0.632   NS  -0.0130
dDocent_Contig_4921_125    2      850  0.412  0.401  0.321  0.920  0.840  0.752  0.439  0.659   NS  -0.0131
dDocent_Contig_4921_150    2      850  0.504  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0042
dDocent_Contig_4944_148    2      853  0.504  0.485  0.367  0.883  0.816  0.724  0.383  0.603   NS  -0.0196
dDocent_Contig_5048_60    2      851  0.455  0.440  0.343  0.903  0.829  0.738  0.411  0.633   NS  -0.0171
dDocent_Contig_5048_93    2      851  0.489  0.495  0.372  0.878  0.814  0.721  0.378  0.597   NS   0.0055
dDocent_Contig_5048_102    2      851  0.494  0.498  0.374  0.876  0.813  0.719  0.376  0.595   NS   0.0043
dDocent_Contig_5048_114    2      851  0.325  0.325  0.272  0.947  0.864  0.781  0.509  0.715   NS  -0.0013
dDocent_Contig_5416_66    2      873  0.402  0.450  0.348  0.899  0.826  0.735  0.404  0.626   NS   0.0555
dDocent_Contig_5565_25    2      863  0.371  0.354  0.291  0.937  0.854  0.770  0.480  0.693   NS  -0.0238
dDocent_Contig_5644_86    2      852  0.495  0.496  0.373  0.877  0.813  0.720  0.377  0.596   NS   0.0007
dDocent_Contig_5644_202    2      852  0.379  0.373  0.304  0.930  0.848  0.762  0.462  0.679   NS  -0.0078
dDocent_Contig_5715_80    2      854  0.528  0.499  0.374  0.876  0.813  0.719  0.376  0.594   NS  -0.0284
dDocent_Contig_5834_55    2      843  0.466  0.472  0.361  0.889  0.820  0.728  0.390  0.612   NS   0.0060
dDocent_Contig_5958_97    2      856  0.429  0.402  0.321  0.919  0.839  0.751  0.438  0.659   NS  -0.0322
dDocent_Contig_5958_183    2      856  0.496  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0035
dDocent_Contig_6015_185    2      846  0.494  0.499  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0050
dDocent_Contig_6097_96    2      862  0.425  0.422  0.333  0.911  0.834  0.744  0.424  0.645   NS  -0.0039
dDocent_Contig_6184_147    2      846  0.528  0.496  0.373  0.877  0.814  0.720  0.377  0.596   NS  -0.0317
dDocent_Contig_6302_175    2      874  0.458  0.439  0.342  0.904  0.829  0.739  0.411  0.633   NS  -0.0211
dDocent_Contig_6381_200    2      851  0.778  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.2177
dDocent_Contig_6382_64    2      859  0.321  0.319  0.268  0.949  0.866  0.784  0.515  0.719   NS  -0.0038
dDocent_Contig_6510_19    2      863  0.460  0.468  0.358  0.891  0.821  0.729  0.393  0.614   NS   0.0081
dDocent_Contig_6510_42    2      863  0.492  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0076
dDocent_Contig_6510_48    2      863  0.503  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0029
dDocent_Contig_6747_197    2      851  0.489  0.499  0.374  0.876  0.813  0.719  0.376  0.595   NS   0.0096
dDocent_Contig_6841_133    2      879  0.452  0.423  0.333  0.911  0.833  0.744  0.423  0.644   NS  -0.0333
dDocent_Contig_7037_101    2      859  0.483  0.464  0.356  0.893  0.822  0.730  0.395  0.617   NS  -0.0207
dDocent_Contig_7072_24    2      874  0.468  0.461  0.355  0.894  0.823  0.731  0.397  0.619   NS  -0.0078
dDocent_Contig_7072_193    2      874  0.383  0.393  0.316  0.923  0.842  0.755  0.446  0.665   NS   0.0120
dDocent_Contig_7118_33    2      855  0.489  0.459  0.353  0.895  0.823  0.732  0.398  0.620   NS  -0.0323
dDocent_Contig_7118_74    2      854  0.521  0.499  0.374  0.876  0.813  0.719  0.376  0.595   NS  -0.0224
dDocent_Contig_7118_127    2      855  0.342  0.334  0.278  0.944  0.861  0.778  0.500  0.708   NS  -0.0115
dDocent_Contig_7182_105    2      854  0.406  0.392  0.315  0.923  0.842  0.755  0.447  0.666   NS  -0.0180
dDocent_Contig_7235_155    2      862  0.462  0.472  0.360  0.889  0.820  0.728  0.391  0.612   NS   0.0104
dDocent_Contig_7235_182    2      862  0.502  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0030
dDocent_Contig_7333_33    2      846  0.346  0.340  0.282  0.942  0.859  0.775  0.494  0.704   NS  -0.0097
dDocent_Contig_7372_44    2      865  0.323  0.328  0.274  0.946  0.863  0.780  0.506  0.713   NS   0.0077
dDocent_Contig_7372_64    2      865  0.383  0.370  0.301  0.932  0.849  0.763  0.466  0.682   NS  -0.0176
dDocent_Contig_7414_8    2      868  0.421  0.406  0.323  0.918  0.838  0.750  0.436  0.656   NS  -0.0179
dDocent_Contig_7490_154    2      846  0.413  0.413  0.328  0.915  0.836  0.747  0.430  0.651   NS   0.0005
dDocent_Contig_7551_135    2      852  0.467  0.474  0.362  0.888  0.819  0.727  0.389  0.610   NS   0.0074
dDocent_Contig_7680_10    2      855  0.373  0.352  0.290  0.938  0.855  0.770  0.482  0.695   NS  -0.0298
dDocent_Contig_7680_22    2      855  0.533  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0326
dDocent_Contig_7680_97    2      855  0.526  0.499  0.374  0.876  0.813  0.719  0.376  0.594   NS  -0.0268
dDocent_Contig_7680_114    2      855  0.527  0.499  0.374  0.876  0.813  0.719  0.376  0.594   NS  -0.0278
dDocent_Contig_7790_25    2      855  0.470  0.471  0.360  0.889  0.820  0.728  0.391  0.612   NS   0.0005
dDocent_Contig_7790_109    2      855  0.505  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS  -0.0052
dDocent_Contig_7790_111    2      855  0.337  0.335  0.279  0.944  0.861  0.777  0.498  0.707   NS  -0.0026
dDocent_Contig_7855_93    2      869  0.458  0.443  0.345  0.902  0.828  0.737  0.408  0.630   NS  -0.0165
dDocent_Contig_7922_100    2      874  0.304  0.331  0.276  0.945  0.862  0.779  0.502  0.710   NS   0.0421
dDocent_Contig_7922_135    2      874  0.427  0.413  0.328  0.915  0.836  0.747  0.430  0.651   NS  -0.0166
dDocent_Contig_7959_175    2      853  0.464  0.452  0.350  0.898  0.825  0.734  0.403  0.625   NS  -0.0136
dDocent_Contig_7971_104    2      853  0.363  0.376  0.305  0.929  0.847  0.761  0.460  0.677   NS   0.0168
dDocent_Contig_7971_131    2      853  0.318  0.332  0.277  0.945  0.861  0.778  0.501  0.709   NS   0.0225
dDocent_Contig_7971_165    2      853  0.368  0.377  0.306  0.929  0.847  0.760  0.459  0.676   NS   0.0120
dDocent_Contig_8010_116    2      853  0.372  0.374  0.304  0.930  0.848  0.762  0.462  0.678   NS   0.0033
dDocent_Contig_8010_133    2      853  0.348  0.364  0.297  0.934  0.851  0.766  0.471  0.686   NS   0.0213
dDocent_Contig_8058_151    2      844  0.509  0.480  0.365  0.885  0.818  0.725  0.385  0.606   NS  -0.0296
dDocent_Contig_8079_64    2      855  0.352  0.337  0.280  0.943  0.860  0.776  0.496  0.706   NS  -0.0217
dDocent_Contig_8079_176    2      855  0.483  0.479  0.364  0.886  0.818  0.726  0.387  0.607   NS  -0.0049
dDocent_Contig_8223_61    2      851  0.431  0.443  0.345  0.902  0.828  0.737  0.409  0.631   NS   0.0131
dDocent_Contig_8378_16    2      850  0.418  0.396  0.317  0.922  0.841  0.754  0.444  0.663   NS  -0.0275
dDocent_Contig_8378_100    2      850  0.505  0.496  0.373  0.877  0.814  0.720  0.377  0.596   NS  -0.0090
dDocent_Contig_8548_150    2      868  0.491  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0092
dDocent_Contig_8548_196    2      868  0.358  0.362  0.296  0.935  0.852  0.766  0.473  0.688   NS   0.0043
dDocent_Contig_8622_88    2      855  0.448  0.438  0.342  0.904  0.829  0.739  0.412  0.634   NS  -0.0117
dDocent_Contig_8622_173    2      855  0.370  0.360  0.295  0.935  0.853  0.767  0.475  0.689   NS  -0.0136
dDocent_Contig_8714_76    2      845  0.486  0.470  0.359  0.890  0.820  0.728  0.392  0.613   NS  -0.0175
dDocent_Contig_8714_138    2      845  0.402  0.418  0.330  0.913  0.835  0.746  0.426  0.648   NS   0.0186
dDocent_Contig_8749_75    2      860  0.423  0.416  0.329  0.914  0.835  0.747  0.428  0.649   NS  -0.0095
dDocent_Contig_8749_150    2      860  0.326  0.342  0.283  0.942  0.858  0.774  0.492  0.702   NS   0.0241
dDocent_Contig_8778_49    2      847  0.427  0.496  0.373  0.877  0.814  0.720  0.377  0.596   NS   0.0740
dDocent_Contig_8787_64    2      851  0.450  0.456  0.352  0.896  0.824  0.733  0.400  0.622   NS   0.0067
dDocent_Contig_8787_116    2      851  0.416  0.433  0.339  0.906  0.830  0.740  0.415  0.637   NS   0.0203
dDocent_Contig_8799_85    2      846  0.392  0.396  0.318  0.922  0.841  0.753  0.443  0.663   NS   0.0044
dDocent_Contig_8799_131    2      846  0.397  0.406  0.323  0.918  0.838  0.750  0.436  0.656   NS   0.0103
dDocent_Contig_8799_184    2      845  0.436  0.447  0.347  0.900  0.827  0.736  0.406  0.628   NS   0.0122
dDocent_Contig_8832_28    2      846  0.392  0.376  0.305  0.929  0.847  0.761  0.460  0.677   NS  -0.0219
dDocent_Contig_8832_116    2      846  0.395  0.382  0.309  0.927  0.846  0.759  0.455  0.673   NS  -0.0172
dDocent_Contig_8832_185    2      846  0.495  0.495  0.373  0.877  0.814  0.720  0.377  0.597   NS  -0.0001
dDocent_Contig_8906_54    2      853  0.509  0.497  0.373  0.877  0.813  0.720  0.377  0.596   NS  -0.0118
dDocent_Contig_8906_56    2      853  0.509  0.497  0.373  0.877  0.813  0.720  0.377  0.596   NS  -0.0118
dDocent_Contig_8907_154    2      847  0.399  0.404  0.322  0.918  0.839  0.751  0.437  0.657   NS   0.0062
dDocent_Contig_8929_17    2      873  0.598  0.419  0.331  0.912  0.834  0.745  0.425  0.647  ***  -0.1755
dDocent_Contig_8929_20    2      873  0.568  0.485  0.367  0.883  0.817  0.724  0.383  0.604  ***  -0.0797
dDocent_Contig_8929_21    2      873  0.575  0.412  0.327  0.915  0.837  0.748  0.431  0.652  ***  -0.1655
