Cervus 3.0.7 - (c) Copyright Tristan Marshall 1998-2014
Distributed by Field Genetics Ltd - www.fieldgenetics.com
Licensed for non-commercial use only

Allele frequency analysis completed 7/20/2016 11:17:49 AM


**** Summary statistics ****


Locus       k    N        HObs   HExp   PIC    NE-1P  NE-2P  NE-PP  NE-I   NE-SI  HW   F(Null)
dDocent_Contig_107_30    2     1518  0.495  0.489  0.369  0.881  0.815  0.722  0.381  0.601   NS  -0.0060
dDocent_Contig_223_125    2     1490  0.459  0.494  0.372  0.878  0.814  0.721  0.378  0.598   NS   0.0361
dDocent_Contig_281_52    2     1490  0.526  0.497  0.373  0.877  0.813  0.720  0.377  0.596   NS  -0.0285
dDocent_Contig_300_134    2     1498  0.484  0.496  0.373  0.877  0.813  0.720  0.377  0.596   NS   0.0126
dDocent_Contig_308_42    2     1496  0.487  0.492  0.371  0.879  0.814  0.721  0.379  0.599   NS   0.0050
dDocent_Contig_674_43    2     1495  0.476  0.484  0.367  0.883  0.817  0.724  0.383  0.604   NS   0.0087
dDocent_Contig_724_114    2     1495  0.492  0.489  0.369  0.881  0.815  0.722  0.381  0.601   NS  -0.0035
dDocent_Contig_784_30    2     1492  0.487  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0132
dDocent_Contig_807_110    2     1484  0.509  0.494  0.372  0.878  0.814  0.721  0.378  0.597   NS  -0.0146
dDocent_Contig_969_24    2     1512  0.482  0.488  0.369  0.881  0.816  0.723  0.381  0.601   NS   0.0057
dDocent_Contig_1027_63    2     1508  0.493  0.485  0.367  0.883  0.816  0.724  0.383  0.603   NS  -0.0083
dDocent_Contig_1113_70    2     1479  0.492  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0080
dDocent_Contig_1118_45    2     1496  0.491  0.487  0.368  0.881  0.816  0.723  0.382  0.602   NS  -0.0038
dDocent_Contig_1152_37    2     1493  0.496  0.481  0.365  0.884  0.817  0.725  0.385  0.606   NS  -0.0158
dDocent_Contig_1194_89    2     1505  0.522  0.498  0.374  0.876  0.813  0.719  0.376  0.595   NS  -0.0231
dDocent_Contig_1491_64    2     1488  0.511  0.485  0.367  0.883  0.816  0.724  0.383  0.603   NS  -0.0261
dDocent_Contig_1491_94    2     1488  0.483  0.497  0.374  0.876  0.813  0.720  0.376  0.595   NS   0.0143
dDocent_Contig_1583_70    2     1503  0.461  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0405
dDocent_Contig_1675_35    2     1506  0.516  0.497  0.373  0.877  0.813  0.720  0.377  0.596   NS  -0.0187
dDocent_Contig_1777_104    2     1522  0.488  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0119
dDocent_Contig_1777_116    2     1522  0.487  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0132
dDocent_Contig_1777_143    2     1509  0.484  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0164
dDocent_Contig_1841_7    2     1495  0.524  0.498  0.374  0.876  0.813  0.719  0.376  0.595   NS  -0.0253
dDocent_Contig_1841_46    2     1495  0.509  0.499  0.374  0.876  0.813  0.719  0.376  0.595   NS  -0.0105
dDocent_Contig_1979_32    2     1473  0.485  0.491  0.370  0.880  0.815  0.722  0.380  0.599   NS   0.0063
dDocent_Contig_1979_123    2     1473  0.499  0.497  0.373  0.877  0.813  0.720  0.377  0.596   NS  -0.0027
dDocent_Contig_1998_62    2     1470  0.493  0.485  0.367  0.883  0.816  0.724  0.383  0.604   NS  -0.0084
dDocent_Contig_2048_116    2     1497  0.491  0.500  0.375  0.875  0.813  0.719  0.375  0.594   NS   0.0089
dDocent_Contig_2120_51    2     1511  0.516  0.491  0.370  0.879  0.815  0.722  0.380  0.599   NS  -0.0251
